test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,direction_match,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0912716463208198,0.0073970584198832,0.7122716382145882,0.7122716382145882,0.6283970503136516,-0.0838745879009366,DOWN,UP,False,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.0676894262433052,0.0073970584198832,0.702689416706562,0.702689416706562,0.6423970488831401,-0.060292367823421955,DOWN,UP,False,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,-0.0333292111754417,0.0073970584198832,-0.6713292226195335,0.6713292226195335,0.6306029530242085,-0.04072626959532499,UP,DOWN,False,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.4599999999999795,0.5161290322580645
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,-0.0153702413663268,0.0073970584198832,-0.6103702699765563,0.6103702699765563,0.5876029701903462,-0.02276729978621006,UP,DOWN,False,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
216,2445,2026-02-25 19:00:00,2026-02-25 21:00:00,USDJPY,156.304,0.4639999866485595,-0.0852438434958458,0.0073970584198832,-0.5492438301444054,0.5492438301444054,0.4566029282286763,-0.09264090191572905,UP,DOWN,False,0.3950000000000102,62.0218579234974,0.1432346758577978,0.0001637868210528,0.4895499999999799,0.992100000000022,0.0024563721371722,0.4850000000000136,0.5161290322580645
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.041572343558073,0.0073970584198832,-0.5155723504722118,0.5155723504722118,0.4666029484942555,-0.04896940197795635,UP,DOWN,False,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
10,2239,2026-02-13 01:00:00,2026-02-13 03:00:00,USDJPY,153.024,-0.3740000128746032,0.1356559097766876,0.0073970584198832,0.5096559226512909,0.5096559226512909,0.3813970712944865,-0.12825885135680437,DOWN,UP,False,0.4449999999999932,48.67200000000001,-0.0752335975648179,0.075486633191528,-0.0417500000000075,-0.4489199999999869,-0.0015659254619481,0.1119999999999947,0.5806451612903226
126,2355,2026-02-19 23:00:00,2026-02-20 01:00:00,USDJPY,154.8,0.414000004529953,-0.0514251515269279,0.0073970584198832,-0.4654251560568809,0.4654251560568809,0.4066029461100697,-0.0588222099468112,UP,DOWN,False,0.2709999999999866,52.21864951768541,0.2036535874761114,-0.0816317765283778,-0.051400000000001,0.7209200000000067,0.0011382450331127,-0.1739999999999781,0.5161290322580645
40,2269,2026-02-16 09:00:00,2026-02-16 11:00:00,USDJPY,152.659,0.4379999935626983,-0.0142688136547803,0.0073970584198832,-0.4522688072174787,0.4522688072174787,0.4306029351428151,-0.021665872074663584,UP,DOWN,False,0.125,13.586097946285731,-0.116107278606421,-0.0636325258303665,-0.4340500000000133,-0.3619600000000105,0.0003014159999474,-0.1450000000000102,0.5483870967741935
2,2231,2026-02-12 17:00:00,2026-02-12 19:00:00,USDJPY,153.313,-0.395000010728836,0.0426412299275398,0.0073970584198832,0.4376412406563759,0.4376412406563759,0.4023970691487193,-0.035244171507656574,DOWN,UP,False,0.6069999999999993,57.45856353591152,-0.2360801448351992,0.0689286667906313,0.1863999999999919,-0.5088800000000049,0.0013912475506203,0.4639999999999986,0.5161290322580645
78,2307,2026-02-17 23:00:00,2026-02-18 01:00:00,USDJPY,153.063,0.3889999985694885,-0.0446838214993476,0.0073970584198832,-0.4336838200688362,0.4336838200688362,0.3816029401496053,-0.05208087991923094,UP,DOWN,False,0.1270000000000095,36.8080094228498,-0.0764056754507009,-0.0196690776386861,-0.1345000000000027,-0.0912600000000054,-0.0004440642325852,-0.0190000000000054,0.5161290322580645
144,2373,2026-02-20 17:00:00,2026-02-20 19:00:00,USDJPY,155.158,0.3899999856948852,-0.0415722914040088,0.0073970584198832,-0.4315722770988941,0.4315722770988941,0.382602927275002,-0.04896934982389212,UP,DOWN,False,0.2319999999999993,57.0194384449241,0.140812006578102,-0.0101028036416853,0.1139499999999884,0.4635199999999884,-0.0008371541909227,0.0139999999999815,0.5161290322580645
20,2249,2026-02-13 11:00:00,2026-02-13 13:00:00,USDJPY,152.767,0.3889999985694885,-0.0392786711454391,0.0073970584198832,-0.4282786697149277,0.4282786697149277,0.3816029401496053,-0.0466757295653224,UP,DOWN,False,0.2309999999999945,42.55774165953768,-0.1415577605958162,0.0008357547679258,-0.1953499999999906,-0.3793799999999976,-0.0001439894233222,-0.1289999999999906,0.5161290322580645
361,2590,2026-03-05 22:00:00,2026-03-06 00:00:00,USDJPY,157.346,0.4129999876022339,-0.0088634397834539,0.0073970584198832,-0.4218634273856878,0.4218634273856878,0.4056029291823506,-0.016260498203337193,UP,DOWN,False,0.125,58.81696428571463,0.0006683034882257,0.0563120712707406,0.2906999999999868,0.0023800000000164,0.0003496703562186,0.3089999999999975,0.5161290322580645
172,2401,2026-02-23 23:00:00,2026-02-24 01:00:00,USDJPY,154.898,-0.3549999892711639,0.0367893800139427,0.0073970584198832,0.3917893692851066,0.3917893692851066,0.3623970476910472,-0.029392321594059412,DOWN,UP,False,0.1959999999999979,49.9718626899267,-0.0462412931902065,0.0662449344313121,0.2470499999999731,-0.0344399999999893,-0.0001420087787245,0.4199999999999875,0.6129032258064516
35,2264,2026-02-14 02:00:00,2026-02-14 04:00:00,USDJPY,153.128,-0.3240000009536743,0.0650462284684181,0.0073970584198832,0.3890462294220924,0.3890462294220924,0.3313970593735575,-0.05764917004853487,DOWN,UP,False,0.2470000000000141,45.70883661792678,0.0340362122416593,-0.0148234816962295,-0.0067999999999983,0.0576799999999764,0.0005553994628959,-0.3080000000000211,0.5483870967741935
282,2511,2026-03-02 15:00:00,2026-03-02 17:00:00,USDJPY,156.519,0.367000013589859,-0.008638022467494,0.0073970584198832,-0.375638036057353,0.375638036057353,0.3596029551699757,-0.016035080887377318,UP,DOWN,False,0.3020000000000209,59.79322228604314,0.0996700531617023,0.0355717602221359,0.3641499999999951,0.4533400000000256,0.0012858404022568,-0.11099999999999,0.5483870967741935
377,2606,2026-03-06 14:00:00,2026-03-06 16:00:00,USDJPY,157.49,0.3529999852180481,-0.0212050359696149,0.0073970584198832,-0.3742050211876631,0.3742050211876631,0.3456029267981648,-0.02860209438949829,UP,DOWN,False,0.0490000000000065,37.37089201878006,0.0676534016692755,-0.0213972994231219,-0.0265999999999735,0.1845399999999983,-7.618950870469376e-05,-0.0010000000000047,0.5806451612903226
191,2420,2026-02-24 18:00:00,2026-02-24 20:00:00,USDJPY,156.093,-0.2399999946355819,0.1202066764235496,0.0073970584198832,0.3602066710591316,0.3602066710591316,0.2473970530554652,-0.11280961800366643,DOWN,UP,False,1.2249999999999943,82.69378357636155,0.1911618534298895,0.1196754600051585,1.286249999999967,1.2502800000000036,0.0072205660304309,1.1829999999999927,0.6451612903225806
310,2539,2026-03-03 19:00:00,2026-03-03 21:00:00,USDJPY,157.51,0.324999988079071,-0.0350174307823181,0.0073970584198832,-0.3600174188613891,0.3600174188613891,0.3176029296591878,-0.04241448920220131,UP,DOWN,False,0.282999999999987,54.14165666266438,0.1556247443242853,-0.0317616714533057,0.1279999999999859,0.7321799999999996,0.0006416405669307,0.2309999999999945,0.6129032258064516
