weekday,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,weekday_name
0,45,0.06686560064554214,0.20072835683822632,0.06764804571866989,0.19962777197360992,-0.001100584864616394,0.5555555555555556,0.6888888888888889,-0.1333333333333333,0.5555555555555556,0.6888888888888889,0.5806451612903226,0.5,0.0062616500072181225,0.07553333044052124,0.0258934423327446,0.2510089576244354,0.12377289101609669,0.0,-0.0011005731713440723,Mon
1,72,0.05728930979967117,0.17439740896224976,0.05620087683200836,0.16471733152866364,-0.00968007743358612,0.4861111111111111,0.6111111111111112,-0.12500000000000006,0.4027777777777778,0.6111111111111112,0.4090909090909091,0.6071428571428571,-0.0004893658333458006,0.04758332669734955,0.04026196897029877,0.23363633453845978,0.06530664608414326,0.0,-0.009680095930687256,Tue
2,72,0.047955140471458435,0.15844093263149261,0.045561764389276505,0.15585538744926453,-0.0025855451822280884,0.4861111111111111,0.4861111111111111,0.0,0.2222222222222222,0.4861111111111111,0.2,0.7567567567567568,-0.0275737252086401,0.026277778670191765,0.03262932598590851,0.21261534094810486,0.08755339046097328,0.0,-0.002585550201021969,Wed
3,81,0.04904071241617203,0.17537783086299896,0.04873887076973915,0.1741483360528946,-0.0012294948101043701,0.49382716049382713,0.5679012345679012,-0.07407407407407407,0.38271604938271603,0.5679012345679012,0.391304347826087,0.6285714285714286,-0.0041429041884839535,0.02102469652891159,0.029774406924843788,0.2203478217124939,0.07867829650724749,0.0,-0.0012295024791433517,Thu
4,96,0.04612211510539055,0.17092490196228027,0.042552005499601364,0.1698397547006607,-0.0010851472616195679,0.5,0.5416666666666666,-0.04166666666666663,0.4583333333333333,0.5416666666666666,0.46153846153846156,0.5454545454545454,0.001053640036843717,0.010177083313465118,0.04113965854048729,0.20626263320446014,-0.10618792762087564,0.0,-0.001085128751583396,Fri
5,28,0.0370953343808651,0.14042267203330994,0.036989811807870865,0.14209243655204773,0.001669764518737793,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.8333333333333334,0.375,0.02889297902584076,-0.05782143026590347,0.04237215965986252,0.1809319108724594,0.32321340406853816,0.0,0.0016697690423045936,Sat
