weekday,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio,weekday_name
0,45,0.0661485344171524,0.20281539857387543,0.06764804571866989,0.19962777197360992,-0.003187626600265503,0.4888888888888889,0.6888888888888889,-0.2,0.4888888888888889,0.6888888888888889,0.4838709677419355,0.5,0.007880649529397488,0.07553333044052124,0.04019007459282875,0.2510089576244354,0.15112338130792766,0.0,-0.003187627572980195,0.677367091178894,0.6428571428571429,0.35714285714285715,0.5,1.0,0.48954907059669495,0.04829714447259903,14,0.3111111111111111,Mon
1,72,0.05723116919398308,0.17232868075370789,0.05620087683200836,0.16471733152866364,-0.0076113492250442505,0.5555555555555556,0.6111111111111112,-0.05555555555555558,0.6666666666666666,0.6111111111111112,0.6818181818181818,0.35714285714285715,0.02240898087620735,0.04758332669734955,0.04495157673954964,0.23363633453845978,0.00043623451573999343,0.0,-0.0076113594695925695,0.7470806837081909,0.21428571428571427,0.5714285714285714,0.3333333333333333,0.0,0.5069610476493835,0.04240094870328903,14,0.19444444444444445,Tue
2,72,0.04725578427314758,0.15753333270549774,0.045561764389276505,0.15585538744926453,-0.0016779452562332153,0.4722222222222222,0.4861111111111111,-0.013888888888888895,0.4861111111111111,0.4861111111111111,0.45714285714285713,0.4864864864864865,0.0005644489428959787,0.026277778670191765,0.028654176741838455,0.21261534094810486,-0.04663765704902003,0.0,-0.0016779307560581388,0.663797914981842,0.7857142857142857,0.9285714285714286,0.9166666666666666,0.0,0.5220614671707153,0.01909213699400425,14,0.19444444444444445,Wed
3,81,0.05095640942454338,0.17624209821224213,0.04873887076973915,0.1741483360528946,-0.002093762159347534,0.4691358024691358,0.5679012345679012,-0.09876543209876543,0.5555555555555556,0.5679012345679012,0.5217391304347826,0.4,0.01131397858262062,0.02102469652891159,0.03388320282101631,0.2203478217124939,-0.07774359959892667,0.0,-0.0020937565599142742,0.7013248801231384,0.5238095238095238,0.5238095238095238,0.5454545454545454,0.5,0.5235430598258972,0.09431140869855881,21,0.25925925925925924,Thu
4,96,0.04657242074608803,0.17289666831493378,0.042552005499601364,0.1698397547006607,-0.0030569136142730713,0.5208333333333334,0.5416666666666666,-0.02083333333333326,0.5416666666666666,0.5416666666666666,0.5576923076923077,0.4772727272727273,0.013382862322032452,0.010177083313465118,0.04033733159303665,0.20626263320446014,-0.14367488254013008,0.0,-0.0030569025620934506,0.7464946508407593,0.34782608695652173,0.13043478260869565,0.07142857142857142,0.7777777777777778,0.461963415145874,0.043926749378442764,23,0.23958333333333334,Fri
5,28,0.03973681852221489,0.14035335183143616,0.036989811807870865,0.14209243655204773,0.0017390847206115723,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.7857142857142857,0.42857142857142855,0.9166666666666666,0.3125,0.045246344059705734,-0.05782143026590347,0.04402623325586319,0.1809319108724594,0.34904516708506933,0.0,0.0017390722142798698,0.7712682485580444,0.25,0.75,0.0,0.25,0.5355415940284729,0.0449780710041523,4,0.14285714285714285,Sat
