true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0.00_0.05,79,0.002780969487503171,0.04097941890358925,0.0008418163051828742,0.024615228176116943,-0.016364190727472305,0.43037974683544306,0.569620253164557,-0.13924050632911394,0.6075949367088608,0.569620253164557,0.5333333333333333,0.29411764705882354,0.01788756251335144,0.0018987342482432723,0.03851911425590515,0.02848832681775093,-0.1048075780785916,0.0,-0.016364191620480972,,,,,,,,0,0.0
0.05_0.10,70,0.006658224854618311,0.07073477655649185,0.005567674990743399,0.07308907806873322,0.0023543015122413635,0.5428571428571428,0.5857142857142857,-0.04285714285714293,0.5285714285714286,0.5857142857142857,0.5609756097560976,0.5172413793103449,0.0121309170499444,0.014785715378820896,0.04197077825665474,0.07425013184547424,0.10002970666344255,0.0,0.0023543183824845755,,,,,,,,0,0.0
0.10_0.20,113,0.021996790543198586,0.1388719230890274,0.021797168999910355,0.14492568373680115,0.006053760647773743,0.5752212389380531,0.504424778761062,0.07079646017699115,0.5929203539823009,0.504424778761062,0.6666666666666666,0.48214285714285715,0.014700464904308319,0.0010796457063406706,0.03925374150276184,0.14750342071056366,0.12839676225568708,0.0,0.006053772342877581,0.6055842041969299,1.0,1.0,1.0,0.0,0.5457555055618286,0.0,1,0.008849557522123894
0.20_0.30,72,0.06480453908443451,0.24876649677753448,0.05878337845206261,0.24068954586982727,-0.008076950907707214,0.4166666666666667,0.6111111111111112,-0.19444444444444448,0.5,0.6111111111111112,0.4318181818181818,0.39285714285714285,0.011136195622384548,0.05691666156053543,0.04208885878324509,0.23734191060066223,-0.2305446318379269,0.0,-0.008076970258520715,0.7089678645133972,0.45454545454545453,0.45454545454545453,0.43478260869565216,0.5,0.4965699017047882,0.07012519240379333,33,0.4583333333333333
0.30_plus,60,0.20622436702251434,0.43146365880966187,0.2047984004020691,0.4281103014945984,-0.0033533573150634766,0.55,0.55,0.0,0.6,0.55,0.6363636363636364,0.4444444444444444,0.012526008300483227,0.07288333773612976,0.03743629530072212,0.44778338074684143,-0.019981848073866063,0.0,-0.003353343453879156,0.7181462049484253,0.48214285714285715,0.48214285714285715,0.46875,0.5,0.5015922784805298,0.05920247361063957,56,0.9333333333333333
