feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
h1_close_return_1_31,"(-0.00458, -0.000521]",-0.0035829798772103,-0.0005217559341686,99,0.056730009615421295,0.1755734235048294,0.053674712777137756,0.1667497158050537,-0.008823707699775696,0.41414141414141414,0.5555555555555556,-0.14141414141414144,0.7373737373737373,0.5555555555555556,0.6363636363636364,0.13636363636363635,0.0288322065025568,0.045232318341732025,0.03999611362814903,0.22856774926185608,-0.1431962601872896,0.0,-0.008823727763192069,0.7192763090133667,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.513713002204895,0.05944722890853882,21,0.21212121212121213
h1_close_return_1_31,"(-0.000521, 7.72e-05]",-0.0005200834670539,7.678230935592723e-05,98,0.047183096408843994,0.16567778587341309,0.04720861464738846,0.16760806739330292,0.0019302815198898315,0.5408163265306123,0.5,0.04081632653061229,0.5306122448979592,0.5,0.5714285714285714,0.5102040816326531,0.00888156145811081,-0.002653059083968401,0.040030959993600845,0.21704289317131042,0.09553196818718736,0.0,0.0019302547396141713,0.6758082509040833,0.47619047619047616,0.2857142857142857,0.3076923076923077,0.75,0.48352065682411194,0.06550382077693939,21,0.21428571428571427
h1_close_return_1_31,"(7.72e-05, 0.000655]",7.768699908061727e-05,0.0006453210961332,98,0.036668065935373306,0.14966394007205963,0.03563741222023964,0.14448018372058868,-0.005183756351470947,0.5,0.6122448979591837,-0.11224489795918369,0.5204081632653061,0.6122448979591837,0.5166666666666667,0.47368421052631576,0.013218535110354424,0.02886734902858734,0.03935018181800842,0.18755382299423218,0.020439201654757558,0.0,-0.005183753452967019,0.7500516772270203,0.21052631578947367,0.5263157894736842,0.2727272727272727,0.125,0.5057042837142944,0.06344481557607651,19,0.19387755102040816
h1_close_return_1_31,"(0.000655, 0.00722]",0.0006585897051343,0.0072205660304309,99,0.06441528350114822,0.19590990245342255,0.06067595258355141,0.19556406140327454,-0.00034584105014801025,0.5757575757575758,0.5656565656565656,0.010101010101010166,0.48484848484848486,0.5656565656565656,0.5535714285714286,0.6046511627906976,0.004612150136381388,0.02758585847914219,0.03598509356379509,0.24549615383148193,-0.1315452205871301,0.0,-0.0003458900998036059,0.7127569317817688,0.5517241379310345,0.4827586206896552,0.5294117647058824,0.5833333333333334,0.49901530146598816,0.061611078679561615,29,0.29292929292929293
h1_ma_gap_sma20_31,"(-1.0259999999999998, -0.0886]",-1.0251499999999965,-0.0888499999999794,99,0.04848409816622734,0.16961434483528137,0.046066317707300186,0.16542913019657135,-0.004185214638710022,0.43434343434343436,0.6767676767676768,-0.24242424242424243,0.37373737373737376,0.6767676767676768,0.3582089552238806,0.59375,-0.0031210577581077814,0.06262625753879547,0.036844879388809204,0.20740310847759247,0.013884728753262429,0.0,-0.004185204768101826,0.746254026889801,0.30434782608695654,0.21739130434782608,0.17647058823529413,0.6666666666666666,0.45933079719543457,0.05824807286262512,23,0.23232323232323232
h1_ma_gap_sma20_31,"(-0.0886, 0.107]",-0.0878999999999905,0.1067999999999926,98,0.04110124707221985,0.15977244079113007,0.037892092019319534,0.15612874925136566,-0.0036436915397644043,0.5102040816326531,0.5408163265306123,-0.030612244897959218,0.5612244897959183,0.5408163265306123,0.5660377358490566,0.4444444444444444,0.0133281871676445,0.035030607134103775,0.038647931069135666,0.1926875114440918,-0.1348274443823572,0.0,-0.0036436798507157604,0.7300331592559814,0.4,0.45,0.4117647058823529,0.3333333333333333,0.48884066939353943,0.04882880300283432,20,0.20408163265306123
h1_ma_gap_sma20_31,"(0.107, 0.281]",0.1075000000000159,0.2809000000000026,98,0.05784805864095688,0.17041198909282684,0.0581495501101017,0.1717124879360199,0.0013004988431930542,0.5612244897959183,0.5408163265306123,0.020408163265306034,0.5918367346938775,0.5408163265306123,0.6415094339622641,0.4666666666666667,0.014912866055965424,0.014663263224065304,0.03854907676577568,0.241032674908638,0.0933522976649968,0.0,0.001300508203935259,0.6809393763542175,0.5714285714285714,0.47619047619047616,0.5454545454545454,0.6,0.5017954707145691,0.04482162371277809,21,0.21428571428571427
h1_ma_gap_sma20_31,"(0.281, 1.286]",0.2811000000000092,1.286249999999967,99,0.057715531438589096,0.18717622756958008,0.055222030729055405,0.18129070103168488,-0.005885526537895203,0.5252525252525253,0.47474747474747475,0.05050505050505055,0.7474747474747475,0.47474747474747475,0.7872340425531915,0.28846153846153844,0.030486484989523888,-0.01305050402879715,0.03840598464012146,0.23410236835479736,0.025518795084369127,0.0,-0.005885544938571527,0.698210597038269,0.6153846153846154,0.7307692307692307,0.9090909090909091,0.4,0.543946385383606,0.06277456879615784,26,0.26262626262626265
h1_ma_gap_sma50_31,"(-1.051, -0.0898]",-1.0503599999999835,-0.0912600000000054,99,0.06291520595550537,0.19971832633018494,0.05769142881035805,0.19261690974235535,-0.00710141658782959,0.4444444444444444,0.6363636363636364,-0.19191919191919193,0.3434343434343434,0.6363636363636364,0.3333333333333333,0.6388888888888888,-0.0052862949669361115,0.05676767975091934,0.03623713552951813,0.2350616455078125,-0.1465960555560598,0.0,-0.007101428165862505,0.7571796178817749,0.2608695652173913,0.043478260869565216,0.05555555555555555,1.0,0.44542863965034485,0.03986404463648796,23,0.23232323232323232
h1_ma_gap_sma50_31,"(-0.0898, 0.251]",-0.0855600000000151,0.2504200000000196,98,0.04277431592345238,0.14629292488098145,0.04247751086950302,0.14651259779930115,0.00021967291831970215,0.5102040816326531,0.5816326530612245,-0.0714285714285714,0.47959183673469385,0.5816326530612245,0.49122807017543857,0.5365853658536586,0.010400010272860527,0.0340714268386364,0.04008878022432327,0.2043672651052475,0.07073921133206607,0.0,0.00021966963968410896,0.7188130617141724,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.48003968596458435,0.03737960010766983,21,0.21428571428571427
