test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,direction_target,direction_target_label,direction_target_active,direction_target_scaled_delta,direction_prob_up,direction_logit,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,pred_direction_head,direction_match,direction_head_match,direction_head_agrees_with_regression,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
190,2419,2026-02-24 17:00:00,2026-02-24 19:00:00,USDJPY,154.974,0.9739999771118164,0.0665264278650283,0.0073970584198832,1.0,UP,1.0,4.673704624176025,0.519255518913269,0.0770600512623786,-0.907473549246788,0.907473549246788,0.9666029186919332,0.05912936944514513,UP,UP,UP,True,,,0.2220000000000084,71.40139505389891,0.1045747784023092,0.0630072499788678,0.2258999999999673,0.1473799999999983,-0.0012245108401433,0.0060000000000002,0.6129032258064516
189,2418,2026-02-24 16:00:00,2026-02-24 18:00:00,USDJPY,155.164,0.9290000200271606,0.0456788428127765,0.0073970584198832,1.0,UP,1.0,4.713343620300293,0.5157045722007751,0.0628389790654182,-0.8833211772143841,0.8833211772143841,0.9216029616072774,0.038281784392893314,UP,UP,UP,True,,,0.1410000000000195,74.47089947089836,0.106471642226694,0.0806559262979696,0.4251999999999611,0.3326999999999884,-0.0005217559341686,0.2999999999999829,0.6129032258064516
158,2387,2026-02-23 09:00:00,2026-02-23 11:00:00,USDJPY,154.899,-0.843999981880188,-0.0321438647806644,0.0073970584198832,0.0,DOWN,1.0,-2.863929271697998,0.471136063337326,-0.1155842244625091,0.8118561170995235,0.8118561170995235,0.8513970403000712,0.039540923200547695,DOWN,DOWN,DOWN,True,,,0.1140000000000043,30.62686567164189,-0.0126549917450233,-0.0527830510492608,-0.2785999999999831,-0.149879999999996,-0.0002839753974043,-0.093999999999994,0.5161290322580645
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0639882385730743,0.0073970584198832,0.0,DOWN,1.0,-1.6083916425704956,0.495670884847641,-0.0173169076442718,0.6849882304668427,0.6849882304668427,0.6283970503136516,-0.05659118015319109,DOWN,UP,DOWN,False,,,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.0387453697621822,0.0073970584198832,0.0,DOWN,1.0,-1.6996787786483765,0.4839835464954376,-0.0640877783298492,0.6737453602254391,0.6737453602254391,0.6423970488831401,-0.031348311342298985,DOWN,UP,DOWN,False,,,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
102,2331,2026-02-18 23:00:00,2026-02-19 01:00:00,USDJPY,153.68,0.6940000057220459,0.0318149290978908,0.0073970584198832,1.0,UP,1.0,3.898876428604126,0.5551384687423706,0.2214545160531997,-0.662185076624155,0.662185076624155,0.6866029473021626,0.024417870678007603,UP,UP,UP,True,,,0.2480000000000188,65.65118050266517,0.1220726934536173,0.0245468331865709,0.2003500000000144,0.3196599999999989,-0.0001886681976982,0.0109999999999956,0.5806451612903226
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,0.0034119151532649,0.0073970584198832,1.0,UP,1.0,2.134493112564087,0.5086230039596558,0.0344952419400215,-0.6345880962908268,0.6345880962908268,0.6306029530242085,-0.003985143266618252,UP,UP,UP,True,,,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.4599999999999795,0.5161290322580645
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,0.0287672244012355,0.0073970584198832,1.0,UP,1.0,2.0840632915496826,0.5211277008056641,0.0845611095428466,-0.5662328042089939,0.5662328042089939,0.5876029701903462,0.02137016598135233,UP,UP,UP,True,,,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
151,2380,2026-02-21 00:00:00,2026-02-21 02:00:00,USDJPY,155.416,-0.5649999976158142,-0.0097384694963693,0.0073970584198832,0.0,DOWN,1.0,-2.080265045166016,0.5615764856338501,0.2475624680519104,0.5552615281194448,0.5552615281194448,0.5723970560356975,0.017135527916252613,DOWN,DOWN,UP,True,,,0.4190000000000111,56.83947532791963,0.135936006204929,-0.0125981179983614,0.223399999999998,0.4818199999999706,0.0010563471001983,-0.132000000000005,0.5161290322580645
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.0648021548986435,0.0073970584198832,1.0,UP,1.0,1.731190800666809,0.4678378105163574,-0.1288266330957412,-0.5388021618127823,0.5388021618127823,0.4666029484942555,-0.0721992133185268,UP,DOWN,DOWN,False,,,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
6,2235,2026-02-12 21:00:00,2026-02-12 23:00:00,USDJPY,153.115,0.5440000295639038,0.0053588710725307,0.0073970584198832,1.0,UP,1.0,1.4694759845733645,0.479519784450531,-0.0819666385650634,-0.5386411584913731,0.5386411584913731,0.5366029711440206,-0.0020381873473525047,UP,UP,DOWN,True,,,0.2139999999999986,48.16191656340354,-0.1788947072318762,0.0637441831827042,0.1075000000000159,-0.5100599999999815,0.0013275609500889,0.0150000000000147,0.5483870967741935
79,2308,2026-02-18 00:00:00,2026-02-18 02:00:00,USDJPY,153.278,0.5199999809265137,-0.0181630365550518,0.0073970584198832,1.0,UP,1.0,2.0296642780303955,0.4719878435134887,-0.1121658682823181,-0.5381630174815655,0.5381630174815655,0.5126029225066304,-0.025560094974935055,UP,DOWN,DOWN,False,,,0.3650000000000091,42.5588865096352,-0.0539133341864612,0.0022586109004428,0.0900499999999908,0.1253399999999658,0.0014046503727223,0.5559999999999832,0.5483870967741935
216,2445,2026-02-25 19:00:00,2026-02-25 21:00:00,USDJPY,156.304,0.4639999866485595,-0.0525506250560283,0.0073970584198832,1.0,UP,1.0,1.4298921823501587,0.5188145637512207,0.0752938240766525,-0.5165506117045879,0.5165506117045879,0.4566029282286763,-0.05994768347591162,UP,DOWN,UP,False,,,0.3950000000000102,62.0218579234974,0.1432346758577978,0.0001637868210528,0.4895499999999799,0.992100000000022,0.0024563721371722,0.4850000000000136,0.5161290322580645
0,2229,2026-02-12 15:00:00,2026-02-12 17:00:00,USDJPY,152.855,0.4580000042915344,-0.0292765665799379,0.0073970584198832,1.0,UP,1.0,1.565276861190796,0.4611178636550903,-0.1558434069156646,-0.4872765708714723,0.4872765708714723,0.4506029458716512,-0.03667362499982113,UP,DOWN,DOWN,False,,,0.4299999999999784,39.94537384772953,-0.3191687643878822,0.0126519355889009,-0.2766000000000019,-1.0503599999999835,0.001946800561098,-0.4120000000000061,0.5161290322580645
10,2239,2026-02-13 01:00:00,2026-02-13 03:00:00,USDJPY,153.024,-0.3740000128746032,0.1064797639846801,0.0073970584198832,0.0,NEUTRAL,0.0,-0.9649122953414916,0.5017634034156799,0.0070536583662033,0.4804797768592834,0.4804797768592834,0.3813970712944865,-0.09908270556479687,DOWN,UP,UP,False,,,0.4449999999999932,48.67200000000001,-0.0752335975648179,0.075486633191528,-0.0417500000000075,-0.4489199999999869,-0.0015659254619481,0.1119999999999947,0.5806451612903226
289,2518,2026-03-02 22:00:00,2026-03-03 00:00:00,USDJPY,156.963,0.5569999814033508,0.0765261054039001,0.0073970584198832,1.0,UP,1.0,2.343289852142334,0.5704182982444763,0.2835581004619598,-0.4804738759994507,0.4804738759994507,0.5496029229834676,0.0691290469840169,UP,UP,UP,True,,,0.1479999999999961,73.76033057851268,0.2453094164515619,0.056099552160634,0.4930500000000108,0.7634999999999934,0.0002995233118356,0.0769999999999981,0.6129032258064516
40,2269,2026-02-16 09:00:00,2026-02-16 11:00:00,USDJPY,152.659,0.4379999935626983,-0.0339900478720665,0.0073970584198832,1.0,UP,1.0,1.7718446254730225,0.4553596377372741,-0.1790380775928497,-0.4719900414347648,0.4719900414347648,0.4306029351428151,-0.041387106291949693,UP,DOWN,DOWN,False,,,0.125,13.586097946285731,-0.116107278606421,-0.0636325258303665,-0.4340500000000133,-0.3619600000000105,0.0003014159999474,-0.1450000000000102,0.5483870967741935
281,2510,2026-03-02 14:00:00,2026-03-02 16:00:00,USDJPY,156.318,0.515999972820282,0.0604277066886425,0.0073970584198832,1.0,UP,1.0,1.7935348749160769,0.5319826006889343,0.128105342388153,-0.4555722661316395,0.4555722661316395,0.5086029144003987,0.05303064826875925,UP,UP,UP,True,,,0.1829999999999927,54.72186287192824,0.0820919825570172,0.0268866296729848,0.1825000000000045,0.2640399999999943,0.0002111527017949,0.1950000000000216,0.5161290322580645
78,2307,2026-02-17 23:00:00,2026-02-18 01:00:00,USDJPY,153.063,0.3889999985694885,-0.0663783848285675,0.0073970584198832,1.0,UP,1.0,1.6504030227661133,0.4719765782356262,-0.112211063504219,-0.455378383398056,0.455378383398056,0.3816029401496053,-0.0737754432484507,UP,DOWN,DOWN,False,,,0.1270000000000095,36.8080094228498,-0.0764056754507009,-0.0196690776386861,-0.1345000000000027,-0.0912600000000054,-0.0004440642325852,-0.0190000000000054,0.5161290322580645
20,2249,2026-02-13 11:00:00,2026-02-13 13:00:00,USDJPY,152.767,0.3889999985694885,-0.0639820173382759,0.0073970584198832,1.0,UP,1.0,1.5412043333053589,0.4698658883571625,-0.1206827163696289,-0.4529820159077644,0.4529820159077644,0.3816029401496053,-0.0713790757581591,UP,DOWN,DOWN,False,,,0.2309999999999945,42.55774165953768,-0.1415577605958162,0.0008357547679258,-0.1953499999999906,-0.3793799999999976,-0.0001439894233222,-0.1289999999999906,0.5161290322580645
