hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
0,17,0.08679820597171783,0.2281307876110077,0.08881199359893799,0.24042300879955292,0.012292221188545227,0.5294117647058824,0.4117647058823529,0.11764705882352944,0.5294117647058824,0.4117647058823529,0.5714285714285714,0.5,-0.003513383911922574,-0.0766470655798912,0.05684387683868408,0.2859170734882355,0.10860179682389065,0.0,0.012292226502562273,0.7123646140098572,0.4117647058823529,1.0,1.0,0.0,0.5258693695068359,0.011696100234985352
1,17,0.04554992541670799,0.17863044142723083,0.05355469137430191,0.18952856957912445,0.010898128151893616,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.6363636363636364,-0.02442115917801857,-0.12241175770759583,0.05297666788101196,0.1915838122367859,0.1755320480012253,0.0,0.010898090186802795,0.7252298593521118,0.35294117647058826,1.0,1.0,0.0,0.531398355960846,0.012152111157774925
2,17,0.0435941144824028,0.16404326260089874,0.041253674775362015,0.15819983184337616,-0.005843430757522583,0.5294117647058824,0.47058823529411764,0.05882352941176472,0.23529411764705882,0.47058823529411764,0.25,0.7777777777777778,-0.023816237226128578,-0.009058824740350246,0.04005245864391327,0.20244228839874268,-0.048669293898667906,0.0,-0.005843432674951411,0.701566219329834,0.5294117647058824,0.9411764705882353,1.0,0.1111111111111111,0.53399658203125,0.013516782782971859
3,17,0.029854372143745422,0.15026076138019562,0.025823421776294708,0.13566003739833832,-0.0146007239818573,0.35294117647058826,0.7058823529411765,-0.35294117647058826,0.29411764705882354,0.7058823529411765,0.25,0.6,-0.021260017529129982,0.07999999821186066,0.037909332662820816,0.14336051046848297,0.2197516482495055,0.0,-0.014600729843711139,0.659687876701355,0.7058823529411765,1.0,1.0,0.0,0.535548985004425,0.01211188267916441
4,17,0.0209369920194149,0.12287703901529312,0.019587911665439606,0.11264792829751968,-0.010229110717773438,0.47058823529411764,0.6470588235294118,-0.17647058823529416,0.23529411764705882,0.6470588235294118,0.2727272727272727,0.8333333333333334,-0.023220624774694443,0.006941178347915411,0.03690639138221741,0.13995607197284698,0.08930100193734605,0.0,-0.010229096967069551,0.6741280555725098,0.6470588235294118,1.0,1.0,0.0,0.5334968566894531,0.011300337500870228
5,17,0.020903998985886574,0.11938697844743729,0.018844671547412872,0.10978806018829346,-0.00959891825914383,0.6470588235294118,0.5294117647058824,0.11764705882352944,0.29411764705882354,0.5294117647058824,0.4444444444444444,0.875,-0.03125280886888504,-0.0059411777183413506,0.04582541063427925,0.13662636280059814,0.04020227054131016,0.0,-0.009598926695830678,0.6898919939994812,0.5294117647058824,1.0,1.0,0.0,0.5321160554885864,0.009860316291451454
6,17,0.020519236102700233,0.12070661783218384,0.01676892302930355,0.10195242613554001,-0.01875419169664383,0.35294117647058826,0.4117647058823529,-0.05882352941176466,0.47058823529411764,0.4117647058823529,0.2857142857142857,0.4,-0.0370364710688591,-0.05499999597668648,0.05553176626563072,0.11347039043903351,-0.3362243760067353,0.0,-0.018754190546186544,0.6940522193908691,0.4117647058823529,1.0,1.0,0.0,0.5310331583023071,0.009385771118104458
7,13,0.006029956042766571,0.06700631976127625,0.007114651147276163,0.07073643058538437,0.0037301108241081238,0.5384615384615384,0.23076923076923078,0.30769230769230765,0.23076923076923078,0.23076923076923078,0.0,0.7,-0.04371734336018562,-0.0556153878569603,0.044508494436740875,0.05607212334871292,-0.15292472734450407,0.0,0.003730106615246501,0.7289484739303589,0.23076923076923078,1.0,1.0,0.0,0.5300635695457458,0.011156663298606873
8,13,0.018015706911683083,0.10801366716623306,0.015508290380239487,0.10496946424245834,-0.0030442029237747192,0.6153846153846154,0.5384615384615384,0.07692307692307698,0.15384615384615385,0.5384615384615384,0.2857142857142857,1.0,-0.044643763452768326,-0.004307691473513842,0.0395982526242733,0.12398099899291992,0.056076126132989165,0.0,-0.0030442035685364984,0.6947360634803772,0.5384615384615384,1.0,1.0,0.0,0.527519166469574,0.009572837501764297
9,16,0.09284491837024689,0.23443913459777832,0.09813481569290161,0.22991175949573517,-0.004527375102043152,0.5625,0.4375,0.125,0.25,0.4375,0.2857142857142857,0.7777777777777778,-0.04613178223371506,-0.0650625005364418,0.04880857467651367,0.30476945638656616,0.09344843206231329,0.0,-0.00452737667365001,0.7062265276908875,0.4375,1.0,1.0,0.0,0.5260534286499023,0.010801238939166069
