true_direction,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
DOWN,174,0.04402828589081764,0.15521025657653809,0.046554144471883774,0.17113268375396729,0.0159224271774292,0.6379310344827587,0.0,0.6379310344827587,0.3620689655172414,0.0,0.0,0.6379310344827587,-0.017389152199029922,-0.16373564302921295,0.05646956339478493,0.13140679895877838,-0.14516808559537556,0.0,0.01592243565567608,0.7487959861755371,0.011494252873563218,0.9885057471264368,0.0,0.011494252873563218,0.5269196033477783,0.011702603660523891
UP,220,0.06405585259199142,0.19774560630321503,0.051541849970817566,0.16671191155910492,-0.031033694744110107,0.34545454545454546,1.0,-0.6545454545454545,0.34545454545454546,1.0,0.34545454545454546,0.0,-0.021301083266735077,0.17394544184207916,0.05382368341088295,0.1542837768793106,0.046110980168618455,0.0,-0.031033704077443946,0.6409944295883179,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.0,0.5269289016723633,0.012979187071323395
