true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
0.00_0.05,79,0.004345183726400137,0.05421585962176323,0.0008418163051828742,0.024615228176116943,-0.029600631445646286,0.45569620253164556,0.569620253164557,-0.11392405063291144,0.3291139240506329,0.569620253164557,0.3111111111111111,0.6470588235294118,-0.027173729613423347,0.0018987342482432723,0.050639472901821136,0.02848832681775093,-0.042988773283477305,0.0,-0.029600623756340604,0.6884552836418152,0.5443037974683544,0.9746835443037974,0.9555555555555556,0.0,0.5304065942764282,0.0120209576562047
0.05_0.10,70,0.010167041793465614,0.08269292116165161,0.005567674990743399,0.07308907806873322,-0.009603843092918396,0.5142857142857142,0.5857142857142857,-0.07142857142857151,0.35714285714285715,0.5857142857142857,0.3902439024390244,0.6896551724137931,-0.01675548031926155,0.014785715378820896,0.05794328823685646,0.07425013184547424,-0.03506142764571215,0.0,-0.009603852326316486,0.6837036609649658,0.5714285714285714,0.9857142857142858,0.975609756097561,0.0,0.5259287357330322,0.01344055961817503
0.10_0.20,113,0.023386122658848763,0.1394728124141693,0.021797168999910355,0.14492568373680115,0.005452871322631836,0.5221238938053098,0.504424778761062,0.017699115044247815,0.3274336283185841,0.504424778761062,0.3508771929824561,0.6964285714285714,-0.021909408271312714,0.0010796457063406706,0.04920049384236336,0.14750342071056366,0.09096581423041884,0.0,0.005452877545185324,0.6947048902511597,0.48672566371681414,0.9823008849557522,0.9649122807017544,0.0,0.5276234149932861,0.01212573517113924
0.20_0.30,72,0.06968657672405243,0.25345298647880554,0.05878337845206261,0.24068954586982727,-0.012763440608978271,0.4444444444444444,0.6111111111111112,-0.16666666666666674,0.3333333333333333,0.6111111111111112,0.3181818181818182,0.6428571428571429,-0.021204691380262375,0.05691666156053543,0.056734777987003326,0.23734191060066223,-0.1497751891399782,0.0,-0.012763469557588305,0.6855742931365967,0.5833333333333334,0.9722222222222222,0.9545454545454546,0.0,0.5262805223464966,0.011272862553596497
0.30_plus,60,0.21730300784111023,0.4405002295970917,0.2047984004020691,0.4281103014945984,-0.012389928102493286,0.4,0.55,-0.15000000000000002,0.45,0.55,0.36363636363636365,0.4444444444444444,-0.0064973593689501286,0.07288333773612976,0.06252909451723099,0.44778338074684143,-0.11753632833455468,0.0,-0.012389958463609222,0.6866500377655029,0.5666666666666667,0.95,0.9696969696969697,0.07407407407407407,0.5229600667953491,0.012253979220986366
