feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
h1_close_return_1_31,"(-0.00458, -0.000521]",-0.0035829798772103,-0.0005217559341686,99,0.05663623660802841,0.17456476390361786,0.053674712777137756,0.1667497158050537,-0.007815048098564148,0.40404040404040403,0.5555555555555556,-0.15151515151515155,0.6868686868686869,0.5555555555555556,0.5818181818181818,0.18181818181818182,0.023914644494652748,0.045232318341732025,0.03903428837656975,0.22856774926185608,-0.13533495859694517,0.0,-0.00781506429558074,0.6901842951774597,0.5656565656565656,0.98989898989899,1.0,0.022727272727272728,0.5316185355186462,0.014253189787268639
h1_close_return_1_31,"(-0.000521, 7.72e-05]",-0.0005200834670539,7.678230935592723e-05,98,0.04652802646160126,0.16515134274959564,0.04720861464738846,0.16760806739330292,0.0024567246437072754,0.5510204081632653,0.5,0.05102040816326525,0.47959183673469385,0.5,0.5306122448979592,0.5714285714285714,0.003446449525654316,-0.002653059083968401,0.037843968719244,0.21704289317131042,0.12472727959203621,0.0,0.0024566915722525886,0.6922914981842041,0.47959183673469385,0.9591836734693877,0.9387755102040817,0.02040816326530612,0.5271568894386292,0.015827922150492668
h1_close_return_1_31,"(7.72e-05, 0.000655]",7.768699908061727e-05,0.0006453210961332,98,0.036601945757865906,0.14966696500778198,0.03563741222023964,0.14448018372058868,-0.005186781287193298,0.5102040816326531,0.6122448979591837,-0.10204081632653061,0.5306122448979592,0.6122448979591837,0.5333333333333333,0.47368421052631576,0.007820865139365196,0.02886734902858734,0.035869743674993515,0.18755382299423218,0.022600331464918876,0.0,-0.005186768856887917,0.6870218515396118,0.5612244897959183,0.8877551020408163,0.8666666666666667,0.07894736842105263,0.522797703742981,0.01612020656466484
h1_close_return_1_31,"(0.000655, 0.00722]",0.0006585897051343,0.0072205660304309,99,0.06438007205724716,0.19540148973464966,0.06067595258355141,0.19556406140327454,0.00016257166862487793,0.5555555555555556,0.5656565656565656,-0.010101010101010055,0.48484848484848486,0.5656565656565656,0.5357142857142857,0.5813953488372093,6.658222991973162e-05,0.02758585847914219,0.03319382667541504,0.24549615383148193,-0.13821209584051347,0.0,0.0001625407468339397,0.6848747134208679,0.5555555555555556,0.8686868686868687,0.875,0.13953488372093023,0.5186546444892883,0.015420484356582165
h1_ma_gap_sma20_31,"(-1.0259999999999998, -0.0886]",-1.0251499999999965,-0.0888499999999794,99,0.047876931726932526,0.1686367392539978,0.046066317707300186,0.16542913019657135,-0.0032076090574264526,0.43434343434343436,0.6767676767676768,-0.24242424242424243,0.35353535353535354,0.6767676767676768,0.34328358208955223,0.625,-0.005785785149782896,0.06262625753879547,0.03468498960137367,0.20740310847759247,0.07105978907343646,0.0,-0.003207591463425997,0.6730799674987793,0.6161616161616161,0.9191919191919192,0.8955223880597015,0.03125,0.5256328582763672,0.017205895856022835
h1_ma_gap_sma20_31,"(-0.0886, 0.107]",-0.0878999999999905,0.1067999999999926,98,0.04125434160232544,0.16000288724899292,0.037892092019319534,0.15612874925136566,-0.0038741379976272583,0.5,0.5408163265306123,-0.04081632653061229,0.5102040816326531,0.5408163265306123,0.5094339622641509,0.4888888888888889,0.0069468398578464985,0.035030607134103775,0.03667417913675308,0.1926875114440918,-0.14095511805901706,0.0,-0.003874142017519592,0.6991758346557617,0.5,0.9387755102040817,0.9056603773584906,0.022222222222222223,0.5235903859138489,0.0155787980183959
h1_ma_gap_sma20_31,"(0.107, 0.281]",0.1075000000000159,0.2809000000000026,98,0.05778619274497032,0.17029035091400146,0.0581495501101017,0.1717124879360199,0.0014221370220184326,0.5612244897959183,0.5408163265306123,0.020408163265306034,0.5714285714285714,0.5408163265306123,0.6226415094339622,0.4888888888888889,0.008809615857899189,0.014663263224065304,0.03629961237311363,0.241032674908638,0.09500579160468878,0.0,0.0014221240310188445,0.6886850595474243,0.5204081632653061,0.9183673469387755,0.9056603773584906,0.06666666666666667,0.5229461193084717,0.01596430130302906
h1_ma_gap_sma20_31,"(0.281, 1.286]",0.2811000000000092,1.286249999999967,99,0.057389527559280396,0.18601086735725403,0.055222030729055405,0.18129070103168488,-0.004720166325569153,0.5252525252525253,0.47474747474747475,0.05050505050505055,0.7474747474747475,0.47474747474747475,0.7872340425531915,0.28846153846153844,0.02532321773469448,-0.01305050402879715,0.03637199103832245,0.23410236835479736,0.01232316967886019,0.0,-0.0047201827036762465,0.6935180425643921,0.5252525252525253,0.9292929292929293,0.9787234042553191,0.11538461538461539,0.528023898601532,0.015342315658926964
h1_ma_gap_sma50_31,"(-1.051, -0.0898]",-1.0503599999999835,-0.0912600000000054,99,0.06211785599589348,0.19830648601055145,0.05769142881035805,0.19261690974235535,-0.005689576268196106,0.46464646464646464,0.6363636363636364,-0.1717171717171717,0.40404040404040403,0.6363636363636364,0.3968253968253968,0.5833333333333334,-0.002712511457502842,0.05676767975091934,0.036988984793424606,0.2350616455078125,-0.112586409375268,0.0,-0.0056895509978398765,0.682368814945221,0.5757575757575758,0.9191919191919192,0.8888888888888888,0.027777777777777776,0.5258849859237671,0.0171748548746109
h1_ma_gap_sma50_31,"(-0.0898, 0.251]",-0.0855600000000151,0.2504200000000196,98,0.042397040873765945,0.14504513144493103,0.04247751086950302,0.14651259779930115,0.0014674663543701172,0.5102040816326531,0.5816326530612245,-0.0714285714285714,0.47959183673469385,0.5816326530612245,0.49122807017543857,0.5365853658536586,0.006922127678990364,0.0340714268386364,0.03707261011004448,0.2043672651052475,0.09769833291184567,0.0,0.0014674641210965964,0.6864463090896606,0.5306122448979592,0.9081632653061225,0.8771929824561403,0.04878048780487805,0.5240674018859863,0.016032278537750244
