test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,direction_match,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_window_range_mean,h1_window_range_std,h1_window_return_std,h1_window_up_ratio,h1_window_range_ratio_5bar,h1_window_range_ratio_10bar,h1_window_close_slope_5bar,h1_window_close_slope_10bar,h1_window_close_position_10bar,h1_window_close_position_full,h1_current_hour_sin,h1_current_hour_cos,h1_current_weekday_sin,h1_current_weekday_cos,h1_recent_momentum,h1_trend_consistency
190,2419,2026-02-24 17:00:00,2026-02-24 19:00:00,USDJPY,154.974,0.9739999771118164,0.081137366592884,0.0073970584198832,-0.8928626105189323,0.8928626105189323,0.9666029186919332,0.07374030817300081,UP,UP,True,0.2220000000000084,71.40139505389891,0.1045747784023092,0.0630072499788678,0.2258999999999673,0.1473799999999983,-0.0012245108401433,0.234843760728836,0.1017844304442405,0.001056614681147,0.6129032373428345,1.0164835453033447,1.0652590990066528,0.0059967041015625,0.274993896484375,0.5770711302757263,0.7471440434455872,-0.9659258127212524,-0.258819043636322,0.7818315029144287,0.6234897971153259,0.0060000000000002,0.6129032258064516
189,2418,2026-02-24 16:00:00,2026-02-24 18:00:00,USDJPY,155.164,0.9290000200271606,0.0833778381347656,0.0073970584198832,-0.845622181892395,0.845622181892395,0.9216029616072774,0.07598077971488237,UP,UP,True,0.1410000000000195,74.47089947089836,0.106471642226694,0.0806559262979696,0.4251999999999611,0.3326999999999884,-0.0005217559341686,0.2314687669277191,0.1039224565029144,0.0010345586342737,0.6129032373428345,0.607758641242981,0.7153729200363159,0.3000030517578125,0.548004150390625,0.8191112875938416,0.8918523192405701,-0.8660253882408142,-0.5,0.7818315029144287,0.6234897971153259,0.2999999999999829,0.6129032258064516
158,2387,2026-02-23 09:00:00,2026-02-23 11:00:00,USDJPY,154.899,-0.843999981880188,-0.0358380191028118,0.0073970584198832,0.8081619627773762,0.8081619627773762,0.8513970403000712,0.043235077522695065,DOWN,DOWN,True,0.1140000000000043,30.62686567164189,-0.0126549917450233,-0.0527830510492608,-0.2785999999999831,-0.149879999999996,-0.0002839753974043,0.2514062523841858,0.1364294290542602,0.001017949078232,0.5161290168762207,0.6155507564544678,0.3868340849876404,-0.093994140625,-0.352996826171875,0.2278839200735092,0.2021526247262954,0.7071067690849304,-0.7071067690849304,0.0,1.0,-0.093999999999994,0.5161290322580645
151,2380,2026-02-21 00:00:00,2026-02-21 02:00:00,USDJPY,155.416,-0.5649999976158142,0.1274787187576294,0.0073970584198832,0.6924787163734436,0.6924787163734436,0.5723970560356975,-0.12008166033774614,DOWN,UP,False,0.4190000000000111,56.83947532791963,0.135936006204929,-0.0125981179983614,0.223399999999998,0.4818199999999706,0.0010563471001983,0.2484999895095825,0.1017929837107658,0.0009561199694871,0.4838709533214569,1.6483083963394165,1.5427098274230957,-0.1320037841796875,0.2760009765625,0.6771820783615112,0.7952626943588257,0.0,1.0,-0.9749279022216796,-0.2225209325551986,-0.132000000000005,0.5161290322580645
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,-0.0216158404946327,0.0073970584198832,-0.6596158519387245,0.6596158519387245,0.6306029530242085,-0.029012898914515972,UP,DOWN,False,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.2795313000679016,0.2035648077726364,0.0015715740155428,0.5161290168762207,0.6702488660812378,0.7929074168205261,0.4600067138671875,0.1110076904296875,0.8261498808860779,0.7826650142669678,-1.0,-1.8369701465288535e-16,0.9749279022216796,-0.2225209325551986,0.4599999999999795,0.5161290322580645
102,2331,2026-02-18 23:00:00,2026-02-19 01:00:00,USDJPY,153.68,0.6940000057220459,0.0393185839056968,0.0073970584198832,-0.654681421816349,0.654681421816349,0.6866029473021626,0.03192152548581362,UP,UP,True,0.2480000000000188,65.65118050266517,0.1220726934536173,0.0245468331865709,0.2003500000000144,0.3196599999999989,-0.0001886681976982,0.2177187800407409,0.0935532003641128,0.0009569830726832,0.5806451439857483,1.3205537796020508,1.3932583332061768,0.010986328125,0.165985107421875,0.6241637468338013,0.8024439215660095,-0.258819043636322,0.9659258127212524,0.9749279022216796,-0.2225209325551986,0.0109999999999956,0.5806451612903226
79,2308,2026-02-18 00:00:00,2026-02-18 02:00:00,USDJPY,153.278,0.5199999809265137,-0.0826008841395378,0.0073970584198832,-0.6026008650660515,0.6026008650660515,0.5126029225066304,-0.08999794255942106,UP,DOWN,False,0.3650000000000091,42.5588865096352,-0.0539133341864612,0.0022586109004428,0.0900499999999908,0.1253399999999658,0.0014046503727223,0.2033437490463256,0.0960756912827491,0.0008812914602458,0.5483871102333069,1.5057755708694458,1.4246681928634644,0.555999755859375,0.1020050048828125,0.8432475328445435,0.5491440296173096,0.0,1.0,0.9749279022216796,-0.2225209325551986,0.5559999999999832,0.5483870967741935
6,2235,2026-02-12 21:00:00,2026-02-12 23:00:00,USDJPY,153.115,0.5440000295639038,-0.0529845915734767,0.0073970584198832,-0.5969846211373806,0.5969846211373806,0.5366029711440206,-0.06038164999336004,UP,DOWN,False,0.2139999999999986,48.16191656340354,-0.1788947072318762,0.0637441831827042,0.1075000000000159,-0.5100599999999815,0.0013275609500889,0.3847812712192535,0.2891782224178314,0.0014608307974413,0.5483871102333069,0.5997757911682129,0.5780658721923828,0.0149993896484375,0.0080108642578125,0.6612071394920349,0.3554350435733795,-0.7071067690849304,0.7071067690849304,0.4338837265968323,-0.900968849658966,0.0150000000000147,0.5483870967741935
277,2506,2026-03-02 10:00:00,2026-03-02 12:00:00,USDJPY,156.63,-0.4129999876022339,0.1603100001811981,0.0073970584198832,0.573309987783432,0.573309987783432,0.4203970460221171,-0.15291294176131492,DOWN,UP,False,0.532999999999987,68.71247498332322,0.0651943461086546,0.0455669358615727,0.5866000000000042,0.5948600000000113,0.0032474395188408,0.2209687530994415,0.0916220098733902,0.0010161236859858,0.4838709533214569,1.82784640789032,2.119284152984619,0.61700439453125,0.4580078125,0.9625910520553588,0.9742065072059632,0.5,-0.8660253882408142,0.0,1.0,0.6169999999999902,0.5161290322580645
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,-0.0694644078612327,0.0073970584198832,0.5515355840325356,0.5515355840325356,0.6283970503136516,0.07686146628111601,DOWN,DOWN,True,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3965625464916229,0.2882545590400696,0.0015421371208503,0.5806451439857483,1.460410475730896,1.2898211479187012,0.34600830078125,0.7060089111328125,0.6289390921592712,0.4179622530937195,0.0,1.0,-0.4338837265968323,-0.900968849658966,0.3460000000000036,0.5806451612903226
146,2375,2026-02-20 19:00:00,2026-02-20 21:00:00,USDJPY,155.548,-0.3720000088214874,0.1636386513710022,0.0073970584198832,0.5356386601924896,0.5356386601924896,0.3793970672413707,-0.15624159295111895,DOWN,UP,False,0.3079999999999927,71.30214917825529,0.1770475032473939,0.0194805689578749,0.4229500000000143,0.7701799999999821,0.0003344137469774,0.2514374852180481,0.0967699959874153,0.0009442007285542,0.4838709533214569,1.065743923187256,1.1286184787750244,0.4080047607421875,0.6009979248046875,0.932765781879425,0.955368161201477,-0.9659258127212524,0.258819043636322,-0.4338837265968323,-0.900968849658966,0.4080000000000154,0.5161290322580645
