test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,direction_match,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_window_range_mean,h1_window_range_std,h1_window_return_std,h1_window_up_ratio,h1_window_range_ratio_5bar,h1_window_range_ratio_10bar,h1_window_close_slope_5bar,h1_window_close_slope_10bar,h1_window_close_position_10bar,h1_window_close_position_full,h1_current_hour_sin,h1_current_hour_cos,h1_current_weekday_sin,h1_current_weekday_cos,h1_recent_momentum,h1_trend_consistency
151,2380,2026-02-21 00:00:00,2026-02-21 02:00:00,USDJPY,155.416,-0.5649999976158142,0.1274787187576294,0.0073970584198832,0.6924787163734436,0.6924787163734436,0.5723970560356975,-0.12008166033774614,DOWN,UP,False,0.4190000000000111,56.83947532791963,0.135936006204929,-0.0125981179983614,0.223399999999998,0.4818199999999706,0.0010563471001983,0.2484999895095825,0.1017929837107658,0.0009561199694871,0.4838709533214569,1.6483083963394165,1.5427098274230957,-0.1320037841796875,0.2760009765625,0.6771820783615112,0.7952626943588257,0.0,1.0,-0.9749279022216796,-0.2225209325551986,-0.132000000000005,0.5161290322580645
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,-0.0216158404946327,0.0073970584198832,-0.6596158519387245,0.6596158519387245,0.6306029530242085,-0.029012898914515972,UP,DOWN,False,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.2795313000679016,0.2035648077726364,0.0015715740155428,0.5161290168762207,0.6702488660812378,0.7929074168205261,0.4600067138671875,0.1110076904296875,0.8261498808860779,0.7826650142669678,-1.0,-1.8369701465288535e-16,0.9749279022216796,-0.2225209325551986,0.4599999999999795,0.5161290322580645
79,2308,2026-02-18 00:00:00,2026-02-18 02:00:00,USDJPY,153.278,0.5199999809265137,-0.0826008841395378,0.0073970584198832,-0.6026008650660515,0.6026008650660515,0.5126029225066304,-0.08999794255942106,UP,DOWN,False,0.3650000000000091,42.5588865096352,-0.0539133341864612,0.0022586109004428,0.0900499999999908,0.1253399999999658,0.0014046503727223,0.2033437490463256,0.0960756912827491,0.0008812914602458,0.5483871102333069,1.5057755708694458,1.4246681928634644,0.555999755859375,0.1020050048828125,0.8432475328445435,0.5491440296173096,0.0,1.0,0.9749279022216796,-0.2225209325551986,0.5559999999999832,0.5483870967741935
6,2235,2026-02-12 21:00:00,2026-02-12 23:00:00,USDJPY,153.115,0.5440000295639038,-0.0529845915734767,0.0073970584198832,-0.5969846211373806,0.5969846211373806,0.5366029711440206,-0.06038164999336004,UP,DOWN,False,0.2139999999999986,48.16191656340354,-0.1788947072318762,0.0637441831827042,0.1075000000000159,-0.5100599999999815,0.0013275609500889,0.3847812712192535,0.2891782224178314,0.0014608307974413,0.5483871102333069,0.5997757911682129,0.5780658721923828,0.0149993896484375,0.0080108642578125,0.6612071394920349,0.3554350435733795,-0.7071067690849304,0.7071067690849304,0.4338837265968323,-0.900968849658966,0.0150000000000147,0.5483870967741935
277,2506,2026-03-02 10:00:00,2026-03-02 12:00:00,USDJPY,156.63,-0.4129999876022339,0.1603100001811981,0.0073970584198832,0.573309987783432,0.573309987783432,0.4203970460221171,-0.15291294176131492,DOWN,UP,False,0.532999999999987,68.71247498332322,0.0651943461086546,0.0455669358615727,0.5866000000000042,0.5948600000000113,0.0032474395188408,0.2209687530994415,0.0916220098733902,0.0010161236859858,0.4838709533214569,1.82784640789032,2.119284152984619,0.61700439453125,0.4580078125,0.9625910520553588,0.9742065072059632,0.5,-0.8660253882408142,0.0,1.0,0.6169999999999902,0.5161290322580645
146,2375,2026-02-20 19:00:00,2026-02-20 21:00:00,USDJPY,155.548,-0.3720000088214874,0.1636386513710022,0.0073970584198832,0.5356386601924896,0.5356386601924896,0.3793970672413707,-0.15624159295111895,DOWN,UP,False,0.3079999999999927,71.30214917825529,0.1770475032473939,0.0194805689578749,0.4229500000000143,0.7701799999999821,0.0003344137469774,0.2514374852180481,0.0967699959874153,0.0009442007285542,0.4838709533214569,1.065743923187256,1.1286184787750244,0.4080047607421875,0.6009979248046875,0.932765781879425,0.955368161201477,-0.9659258127212524,0.258819043636322,-0.4338837265968323,-0.900968849658966,0.4080000000000154,0.5161290322580645
152,2381,2026-02-21 01:00:00,2026-02-21 03:00:00,USDJPY,155.389,-0.4059999883174896,0.1199956014752388,0.0073970584198832,0.5259955897927284,0.5259955897927284,0.4133970467373729,-0.11259854305535555,DOWN,UP,False,0.1910000000000025,60.70713809206094,0.1351737673651882,-0.0106882854704818,0.1706499999999948,0.4206399999999917,-0.0001737272867657,0.242718756198883,0.0996177792549133,0.0009171397541649,0.4838709533214569,0.8059071898460388,0.6925308704376221,0.0,0.1810150146484375,0.638455331325531,0.7707014083862305,0.258819043636322,0.9659258127212524,-0.9749279022216796,-0.2225209325551986,0.0,0.5161290322580645
222,2451,2026-02-26 01:00:00,2026-02-26 03:00:00,USDJPY,156.612,-0.3120000064373016,0.1796029806137085,0.0073970584198832,0.4916029870510101,0.4916029870510101,0.3193970648571849,-0.1722059221938252,DOWN,UP,False,0.3190000000000168,69.63394342762112,0.3129262276771101,0.0630117387650681,0.5484500000000025,1.0701799999999937,-0.0005296914387823,0.28184375166893,0.2081893682479858,0.0016038555186241,0.5483871102333069,1.675420165061951,1.3116776943206787,0.0529937744140625,0.8800048828125,0.8375679850578308,0.8878862261772156,0.258819043636322,0.9659258127212524,0.4338837265968323,-0.900968849658966,0.0529999999999972,0.5483870967741935
348,2577,2026-03-05 09:00:00,2026-03-05 11:00:00,USDJPY,157.004,-0.4379999935626983,0.0348731726408004,0.0073970584198832,0.4728731662034988,0.4728731662034988,0.4453970519825816,-0.02747611422091717,DOWN,UP,False,0.0379999999999824,35.1087771942978,-0.1234982679530105,-0.0213804829521279,-0.2209000000000003,-0.4188400000000172,-0.0001655734573011,0.2458750158548355,0.0897934213280677,0.0007729085627943,0.4193548262119293,0.2840059697628021,0.2170188426971435,0.02899169921875,-0.3090057373046875,0.2321979701519012,0.1396456360816955,0.7071067690849304,-0.7071067690849304,0.4338837265968323,-0.900968849658966,0.0289999999999963,0.5806451612903226
0,2229,2026-02-12 15:00:00,2026-02-12 17:00:00,USDJPY,152.855,0.4580000042915344,-0.0117987282574176,0.0073970584198832,-0.4697987325489521,0.4697987325489521,0.4506029458716512,-0.01919578667730093,UP,DOWN,False,0.4299999999999784,39.94537384772953,-0.3191687643878822,0.0126519355889009,-0.2766000000000019,-1.0503599999999835,0.001946800561098,0.3647499978542328,0.2940484583377838,0.0014847908169031,0.5161290168762207,1.1303890943527222,1.4695831537246704,-0.4120025634765625,0.1439971923828125,0.4999935030937195,0.2463245689868927,-0.7071067690849304,-0.7071067690849304,0.4338837265968323,-0.900968849658966,-0.4120000000000061,0.5161290322580645
