weekday,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,weekday_name
0,45,0.0622367262840271,0.1899205893278122,0.06764804571866989,0.19962777197360992,0.00970718264579773,0.6222222222222222,0.6888888888888889,-0.06666666666666665,0.8,0.6888888888888889,0.8064516129032258,0.21428571428571427,0.06469710171222687,0.07553333044052124,0.07289319485425949,0.2510089576244354,0.16941712625578464,0.0,0.009707143592337769,Mon
1,72,0.05732113867998123,0.1746935099363327,0.05620087683200836,0.16471733152866364,-0.009976178407669067,0.5277777777777778,0.6111111111111112,-0.08333333333333337,0.7222222222222222,0.6111111111111112,0.7045454545454546,0.25,0.04549117758870125,0.04758332669734955,0.06969089061021805,0.23363633453845978,0.0652853862484036,0.0,-0.009976186530871518,Tue
2,72,0.05711941048502922,0.1901843249797821,0.045561764389276505,0.15585538744926453,-0.03432893753051758,0.4583333333333333,0.4861111111111111,-0.02777777777777779,0.8055555555555556,0.4861111111111111,0.7714285714285715,0.16216216216216217,0.07209954410791397,0.026277778670191765,0.06399717926979065,0.21261534094810486,-0.21014714961443554,0.0,-0.034328940427965596,Wed
3,81,0.054125357419252396,0.18372297286987305,0.04873887076973915,0.1741483360528946,-0.009574636816978455,0.4444444444444444,0.5679012345679012,-0.12345679012345678,0.7283950617283951,0.5679012345679012,0.6521739130434783,0.17142857142857143,0.0488235205411911,0.02102469652891159,0.06130417808890343,0.2203478217124939,-0.0385402404768553,0.0,-0.00957463705843246,Thu
4,96,0.044876452535390854,0.17397475242614746,0.042552005499601364,0.1698397547006607,-0.004134997725486755,0.5729166666666666,0.5416666666666666,0.03125,0.90625,0.5416666666666666,0.9423076923076923,0.13636363636363635,0.06906744092702866,0.010177083313465118,0.057294782251119614,0.20626263320446014,0.18694662618479096,0.0,-0.004134988099394824,Fri
5,28,0.05600312724709511,0.17081467807292938,0.036989811807870865,0.14209243655204773,-0.028722241520881653,0.4642857142857143,0.42857142857142855,0.035714285714285754,0.9642857142857143,0.42857142857142855,1.0,0.0625,0.10209625214338303,-0.05782143026590347,0.03874819353222847,0.1809319108724594,0.2716041960896432,0.0,-0.028722228748457746,Sat
