true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
0.00_0.05,79,0.00982839148491621,0.08109541237354279,0.0008418163051828742,0.024615228176116943,-0.05648018419742584,0.5189873417721519,0.569620253164557,-0.05063291139240511,0.8481012658227848,0.569620253164557,0.8222222222222222,0.11764705882352941,0.07235137373209,0.0018987342482432723,0.06503158807754517,0.02848832681775093,0.04746666079956735,0.0,-0.05648018125904417
0.05_0.10,70,0.012279939837753773,0.09131921082735062,0.005567674990743399,0.07308907806873322,-0.0182301327586174,0.5285714285714286,0.5857142857142857,-0.05714285714285716,0.8285714285714286,0.5857142857142857,0.8048780487804879,0.13793103448275862,0.0683669000864029,0.014785715378820896,0.06305933743715286,0.07425013184547424,0.008603704967168113,0.0,-0.01823014036885329
0.10_0.20,113,0.029535116627812386,0.1447717547416687,0.021797168999910355,0.14492568373680115,0.0001539289951324463,0.4778761061946903,0.504424778761062,-0.026548672566371667,0.8141592920353983,0.504424778761062,0.7894736842105263,0.16071428571428573,0.06927832961082458,0.0010796457063406706,0.06527522951364517,0.14750342071056366,0.0588919536799987,0.0,0.00015393042096258536
0.20_0.30,72,0.060672156512737274,0.23316256701946259,0.05878337845206261,0.24068954586982727,0.007526978850364685,0.5416666666666666,0.6111111111111112,-0.06944444444444453,0.8472222222222222,0.6111111111111112,0.8181818181818182,0.10714285714285714,0.05155709758400917,0.05691666156053543,0.055817317217588425,0.23734191060066223,-0.045164920036528236,0.0,0.007526974219621884
0.30_plus,60,0.1993141919374466,0.4206297993659973,0.2047984004020691,0.4281103014945984,0.007480502128601074,0.5333333333333333,0.55,-0.01666666666666672,0.6833333333333333,0.55,0.696969696969697,0.3333333333333333,0.046329524368047714,0.07288333773612976,0.06810734421014786,0.44778338074684143,0.10721342762321232,0.0,0.007480555338164172
