hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
0,17,0.11237077414989471,0.2756465971469879,0.08881199359893799,0.24042300879955292,-0.035223588347435,0.4117647058823529,0.4117647058823529,0.0,0.7647058823529411,0.4117647058823529,0.7142857142857143,0.2,0.04945395514369011,-0.0766470655798912,0.06948182731866837,0.2859170734882355,-0.24899282443734644,0.0,-0.03522356550264007
1,17,0.08514174073934555,0.2504234313964844,0.05355469137430191,0.18952856957912445,-0.060894861817359924,0.47058823529411764,0.35294117647058826,0.11764705882352938,0.8823529411764706,0.35294117647058826,1.0,0.18181818181818182,0.08567175269126892,-0.12241175770759583,0.060547977685928345,0.1915838122367859,-0.06347274217933736,0.0,-0.06089486559743389
2,17,0.054122909903526306,0.18512004613876343,0.041253674775362015,0.15819983184337616,-0.026920214295387268,0.47058823529411764,0.47058823529411764,0.0,1.0,0.47058823529411764,1.0,0.0,0.10198535025119781,-0.009058824740350246,0.050742972642183304,0.20244228839874268,0.08593919885530786,0.0,-0.02692021829459596
3,17,0.022875165566802025,0.12315124273300171,0.025823421776294708,0.13566003739833832,0.012508794665336609,0.7058823529411765,0.7058823529411765,0.0,0.8823529411764706,0.7058823529411765,0.9166666666666666,0.2,0.09807687997817993,0.07999999821186066,0.04924166575074196,0.14336051046848297,0.030355833642541442,0.0,0.01250878463992302
4,17,0.03071233071386814,0.13391117751598358,0.019587911665439606,0.11264792829751968,-0.021263249218463898,0.5882352941176471,0.6470588235294118,-0.05882352941176472,0.9411764705882353,0.6470588235294118,0.9090909090909091,0.0,0.08927708119153976,0.006941178347915411,0.05745033174753189,0.13995607197284698,-0.0649762763598001,0.0,-0.021263239960021833
5,17,0.034313928335905075,0.14399074018001556,0.018844671547412872,0.10978806018829346,-0.03420267999172211,0.6470588235294118,0.5294117647058824,0.11764705882352944,0.8823529411764706,0.5294117647058824,1.0,0.25,0.08522826433181763,-0.0059411777183413506,0.06867745518684387,0.13662636280059814,-0.139542809244596,0.0,-0.03420267949866898
6,17,0.027407396584749222,0.1318535953760147,0.01676892302930355,0.10195242613554001,-0.0299011692404747,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.8235294117647058,0.4117647058823529,0.8571428571428571,0.2,0.07182590663433075,-0.05499999597668648,0.06227990984916687,0.11347039043903351,0.38430618447252896,0.0,-0.02990117565016536
7,13,0.022119930014014244,0.12867417931556702,0.007114651147276163,0.07073643058538437,-0.05793774873018265,0.15384615384615385,0.23076923076923078,-0.07692307692307693,0.7692307692307693,0.23076923076923078,0.3333333333333333,0.1,0.060168761759996414,-0.0556153878569603,0.0744805634021759,0.05607212334871292,-0.0026970425200716634,0.0,-0.057937749643595174
8,13,0.020292501896619797,0.12733355164527893,0.015508290380239487,0.10496946424245834,-0.022364087402820587,0.38461538461538464,0.5384615384615384,-0.1538461538461538,0.6923076923076923,0.5384615384615384,0.5714285714285714,0.16666666666666666,0.040827371180057526,-0.004307691473513842,0.05153575912117958,0.12398099899291992,-0.017850063842891353,0.0,-0.022364083176048894
9,16,0.09566687047481537,0.22794148325920105,0.09813481569290161,0.22991175949573517,0.0019702762365341187,0.5625,0.4375,0.125,0.75,0.4375,0.8571428571428571,0.3333333333333333,0.04424402117729187,-0.0650625005364418,0.06113371253013611,0.30476945638656616,0.3462597374879012,0.0,0.0019702831050381064
10,16,0.08590453863143921,0.2589043974876404,0.07087323069572449,0.2307996302843094,-0.028104767203330994,0.375,0.4375,-0.0625,0.8125,0.4375,0.7142857142857143,0.1111111111111111,0.053936246782541275,-0.013249997980892658,0.051833029836416245,0.2654184103012085,-0.3000901904880683,0.0,-0.02810474811121822
11,16,0.04157259687781334,0.16976848244667053,0.03926468268036842,0.16420036554336548,-0.005568116903305054,0.4375,0.5625,-0.125,0.875,0.5625,0.7777777777777778,0.0,0.07444878667593002,0.05387499928474426,0.06913001090288162,0.1926252394914627,0.027565219065985167,0.0,-0.005568121210671944
12,16,0.029291357845067978,0.1367063671350479,0.020916279405355453,0.11085110157728195,-0.02585526555776596,0.625,0.6875,-0.0625,0.9375,0.6875,0.9090909090909091,0.0,0.08694669604301453,0.023374997079372406,0.06597915291786194,0.14373929798603058,-0.012429810768148596,0.0,-0.025855264044366777
13,16,0.02448531799018383,0.12438840419054031,0.030352246016263962,0.15192647278308868,0.02753806859254837,0.75,0.75,0.0,0.875,0.75,0.9166666666666666,0.25,0.07089541852474213,0.09849999845027924,0.05272245779633522,0.14850084483623505,0.07081403129528462,0.0,0.027538069640286274
14,16,0.035488277673721313,0.14797647297382355,0.04906412959098816,0.18473896384239197,0.03676249086856842,0.6875,0.8125,-0.125,0.875,0.8125,0.8461538461538461,0.0,0.0590740330517292,0.11556249856948853,0.043446216732263565,0.19329865276813507,0.4140587316567414,0.0,0.03676249994896354
15,17,0.03845823556184769,0.1617583930492401,0.03765794262290001,0.15337631106376648,-0.008382081985473633,0.4117647058823529,0.47058823529411764,-0.05882352941176472,0.8235294117647058,0.47058823529411764,0.75,0.1111111111111111,0.049155477434396744,0.0282352976500988,0.05926768109202385,0.19293446838855743,0.11875117616560135,0.0,-0.008382103953729651
16,17,0.06854639202356339,0.18452006578445435,0.08236535638570786,0.2019662708044052,0.017446205019950867,0.6470588235294118,0.7647058823529411,-0.11764705882352933,0.5294117647058824,0.7647058823529411,0.6153846153846154,0.75,0.030464041978120804,0.10999999940395355,0.058786313980817795,0.2680261433124542,0.4148637445934642,0.0,0.017446202335550505
17,17,0.10050898790359497,0.24011452496051788,0.1259300708770752,0.2780718207359314,0.03795729577541351,0.6470588235294118,0.7058823529411765,-0.05882352941176472,0.8235294117647058,0.7058823529411765,0.8333333333333334,0.2,0.05801834166049957,0.16429410874843597,0.06062595173716545,0.3182976543903351,0.4087257507661686,0.0,0.03795727271148387
18,17,0.06124478206038475,0.193206787109375,0.05715496093034744,0.1870354562997818,-0.006171330809593201,0.47058823529411764,0.5294117647058824,-0.05882352941176472,0.7058823529411765,0.5294117647058824,0.6666666666666666,0.25,0.03401024267077446,0.047470591962337494,0.06894267350435257,0.23568850755691528,-0.02343021877692398,0.0,-0.006171321551151137
19,17,0.05470266565680504,0.2006363868713379,0.043408364057540894,0.17032958567142487,-0.030306801199913025,0.4117647058823529,0.5294117647058824,-0.11764705882352944,0.8823529411764706,0.5294117647058824,0.7777777777777778,0.0,0.055007513612508774,0.0457058846950531,0.05062750354409218,0.2047945261001587,-0.48765311317864946,0.0,-0.03030679062666261
20,17,0.04212981089949608,0.16492202877998352,0.02778269164264202,0.1306236982345581,-0.034298330545425415,0.4117647058823529,0.5882352941176471,-0.17647058823529416,0.8235294117647058,0.5882352941176471,0.7,0.0,0.06722742319107056,0.02329411543905735,0.06578384339809418,0.16592158377170563,-0.3821446749576551,0.0,-0.03429831547991318
21,17,0.04815032705664635,0.16897034645080566,0.04211818054318428,0.15475347638130188,-0.014216870069503784,0.4117647058823529,0.5882352941176471,-0.17647058823529416,0.7058823529411765,0.5882352941176471,0.6,0.14285714285714285,0.06054266169667244,0.05452941358089447,0.07054363936185837,0.19974163174629211,-0.11500808139140221,0.0,-0.014216888312469523
22,17,0.055792003870010376,0.19922015070915222,0.0575760118663311,0.19864793121814728,-0.0005722194910049438,0.5294117647058824,0.6470588235294118,-0.11764705882352944,0.6470588235294118,0.6470588235294118,0.6363636363636364,0.3333333333333333,0.03188098222017288,0.10000000149011612,0.0612931065261364,0.22136102616786957,0.059174423690961465,0.0,-0.0005722296259859021
23,17,0.0900430753827095,0.23105517029762268,0.09711658954620361,0.24232956767082214,0.011274397373199463,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.7058823529411765,0.5294117647058824,0.7777777777777778,0.375,0.04841552674770355,0.029117649421095848,0.06999707967042923,0.3108774721622467,0.2728276067851098,0.0,0.011274415177895743
