feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
h1_macd_hist_31,"(-0.034, 0.00271]",-0.0339954558405295,0.0026445507429352,98,0.04798033460974693,0.1734803020954132,0.04260510206222534,0.16235773265361786,-0.011122569441795349,0.5612244897959183,0.6326530612244898,-0.07142857142857151,0.826530612244898,0.6326530612244898,0.8064516129032258,0.1388888888888889,0.06762691587209702,0.04868367314338684,0.06313077360391617,0.2022387683391571,-0.10712641530881635,0.0,-0.011122557864410378
h1_macd_hist_31,"(0.00271, 0.0376]",0.0027691680911603,0.0364968457120703,98,0.044744666665792465,0.1697649210691452,0.040281228721141815,0.1550225168466568,-0.014742404222488403,0.4387755102040816,0.5102040816326531,-0.07142857142857145,0.7653061224489796,0.5102040816326531,0.7,0.16666666666666666,0.053308822214603424,0.020438773557543755,0.06541422009468079,0.2002776712179184,0.02770540089249211,0.0,-0.014742406465265206
h1_macd_hist_31,"(0.0376, 0.139]",0.0380166672232728,0.1390151217793034,99,0.07643072307109833,0.21084646880626678,0.07038222998380661,0.200668603181839,-0.010177865624427795,0.5454545454545454,0.494949494949495,0.05050505050505044,0.8484848484848485,0.494949494949495,0.8979591836734694,0.2,0.07301934063434601,0.0025454554706811905,0.06731317192316055,0.26525214314460754,0.09592865256265302,0.0,-0.010177870055265494
h1_range_31,"(0.037, 0.161]",0.0379999999999824,0.1610000000000013,100,0.053779974579811096,0.1774972528219223,0.04995504766702652,0.16447794437408447,-0.01301930844783783,0.51,0.5,0.010000000000000009,0.77,0.5,0.78,0.24,0.04536034166812897,0.009029999375343323,0.05336867645382881,0.2235003262758255,0.014274076195282199,0.0,-0.01301932718604803
h1_range_31,"(0.161, 0.23]",0.1620000000000061,0.2299999999999897,97,0.05023536831140518,0.16827960312366486,0.04795064032077789,0.1599428504705429,-0.008336752653121948,0.5154639175257731,0.6185567010309279,-0.10309278350515472,0.7731958762886598,0.6185567010309279,0.7333333333333333,0.16216216216216217,0.06262632459402084,0.045494843274354935,0.06149383634328842,0.2156367301940918,0.012775323184734092,0.0,-0.008336777587603655
h1_range_31,"(0.23, 0.294]",0.2309999999999945,0.2930000000000063,98,0.05196903645992279,0.18030083179473877,0.04774985462427139,0.1730843335390091,-0.007216498255729675,0.5102040816326531,0.6224489795918368,-0.11224489795918369,0.826530612244898,0.6224489795918368,0.7704918032786885,0.08108108108108109,0.058584846556186676,0.05252040550112724,0.0625607967376709,0.21380771696567535,-0.08614948502312149,0.0,-0.007216498481432843
h1_range_31,"(0.294, 1.225]",0.2939999999999827,1.2249999999999943,99,0.060171306133270264,0.1963762640953064,0.051650743931531906,0.17706254124641418,-0.019313722848892212,0.5252525252525253,0.494949494949495,0.03030303030303033,0.8686868686868687,0.494949494949495,0.8979591836734694,0.16,0.08555225282907486,-0.006919194478541613,0.07229799777269363,0.22681665420532227,0.15405327791490173,0.0,-0.01931371260434389
h1_recent_momentum,"(-1.0699999999999998, -0.152]",-1.0689999999999884,-0.1519999999999868,100,0.032729167491197586,0.14239226281642914,0.027229879051446915,0.13086852431297302,-0.011523738503456116,0.58,0.61,-0.030000000000000027,0.89,0.61,0.8852459016393442,0.10256410256410256,0.0844787061214447,0.034599997103214264,0.05789315700531006,0.16275711357593536,-0.02121425544586811,0.0,-0.011523725744336837
h1_recent_momentum,"(-0.152, 0.0435]",-0.1490000000000009,0.0420000000000015,97,0.0752207338809967,0.21524950861930847,0.07136283814907074,0.20154473185539246,-0.013704776763916016,0.5360824742268041,0.5773195876288659,-0.04123711340206182,0.8350515463917526,0.5773195876288659,0.8214285714285714,0.14634146341463414,0.06657276302576065,0.04795875772833824,0.0643896535038948,0.26404088735580444,-0.02972201369583587,0.0,-0.013704793976581435
h1_recent_momentum,"(0.0435, 0.274]",0.0450000000000159,0.2730000000000245,98,0.04282312095165253,0.16443589329719543,0.039140745997428894,0.1557554006576538,-0.008680492639541626,0.45918367346938777,0.5714285714285714,-0.11224489795918363,0.7448979591836735,0.5714285714285714,0.6785714285714286,0.16666666666666666,0.052407898008823395,0.039408162236213684,0.0656818374991417,0.1952332854270935,-0.008733330825729219,0.0,-0.00868048693756667
