weekday,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio,weekday_name
0,45,0.0723976269364357,0.20637232065200806,0.06764804571866989,0.19962777197360992,-0.006744548678398132,0.5333333333333333,0.6888888888888889,-0.15555555555555556,0.5333333333333333,0.6888888888888889,0.5483870967741935,0.5,0.007048668339848518,0.07553333044052124,0.06339472532272339,0.2510089576244354,-0.02146344000770128,0.0,-0.006744531769719394,0.6579704284667969,0.72,1.0,1.0,0.0,0.535647988319397,0.014613778330385685,25,0.5555555555555556,Mon
1,72,0.05942203477025032,0.17587977647781372,0.05620087683200836,0.16471733152866364,-0.011162444949150085,0.5138888888888888,0.6111111111111112,-0.09722222222222232,0.5416666666666666,0.6111111111111112,0.5454545454545454,0.4642857142857143,-0.0006299718515947461,0.04758332669734955,0.05885849893093109,0.23363633453845978,0.03464168758805333,0.0,-0.011162445776992368,0.6824957728385925,0.575,1.0,1.0,0.0,0.5389193892478943,0.01047193631529808,40,0.5555555555555556,Tue
2,72,0.05182342231273651,0.1714140623807907,0.045561764389276505,0.15585538744926453,-0.015558674931526184,0.4444444444444444,0.4861111111111111,-0.041666666666666685,0.18055555555555555,0.4861111111111111,0.11428571428571428,0.7567567567567568,-0.04851643368601799,0.026277778670191765,0.04181336611509323,0.21261534094810486,0.04074139656025593,0.0,-0.015558656731930881,0.7035964727401733,0.46875,1.0,1.0,0.0,0.5430716276168823,0.012845704331994057,32,0.4444444444444444,Wed
3,81,0.056051429361104965,0.18275538086891174,0.04873887076973915,0.1741483360528946,-0.008607044816017151,0.48148148148148145,0.5679012345679012,-0.08641975308641975,0.3950617283950617,0.5679012345679012,0.391304347826087,0.6,-0.015789922326803207,0.02102469652891159,0.04433562234044075,0.2203478217124939,-0.21379869689955902,0.0,-0.008607042918878581,0.6808164119720459,0.5813953488372093,1.0,1.0,0.0,0.5439951419830322,0.010548650287091732,43,0.5308641975308642,Thu
4,96,0.050111036747694016,0.17838717997074127,0.042552005499601364,0.1698397547006607,-0.008547425270080566,0.4270833333333333,0.5416666666666666,-0.11458333333333331,0.3229166666666667,0.5416666666666666,0.2692307692307692,0.6136363636363636,-0.017283739522099495,0.010177083313465118,0.05220060795545578,0.20626263320446014,-0.18982784853214146,0.0,-0.008547427615364233,0.688639223575592,0.5357142857142857,1.0,1.0,0.0,0.5432313680648804,0.009478669613599777,56,0.5833333333333334,Fri
5,28,0.034729938954114914,0.14059269428253174,0.036989811807870865,0.14209243655204773,0.0014997422695159912,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5,0.625,-0.009031621739268303,-0.05782143026590347,0.0498814657330513,0.1809319108724594,0.15927861765683501,0.0,0.0014997529797256132,0.7432258725166321,0.25,1.0,1.0,0.0,0.5507709383964539,0.007664269767701626,12,0.42857142857142855,Sat
