true_direction,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
DOWN,174,0.044903047382831573,0.1574804037809372,0.046554144471883774,0.17113268375396729,0.01365227997303009,0.6091954022988506,0.0,0.6091954022988506,0.39080459770114945,0.0,0.0,0.6091954022988506,-0.014067684300243855,-0.16373564302921295,0.05620956048369408,0.13140679895877838,-0.14048200756989568,0.0,0.013652289521762692,0.7798706293106079,0.0,1.0,0.0,0.0,0.541365385055542,0.012494513764977455,94,0.5402298850574713
UP,220,0.06262589991092682,0.19434212148189545,0.051541849970817566,0.16671191155910492,-0.027630209922790527,0.37727272727272726,1.0,-0.6227272727272728,0.37727272727272726,1.0,0.37727272727272726,0.0,-0.01802128180861473,0.17394544184207916,0.052824705839157104,0.1542837768793106,0.05026079133182757,0.0,-0.02763023695971986,0.61152583360672,1.0,1.0,1.0,0.0,0.5426309704780579,0.010830987244844437,114,0.5181818181818182
