true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0.00_0.05,79,0.0040799290873110294,0.05257435142993927,0.0008418163051828742,0.024615228176116943,-0.027959123253822327,0.4430379746835443,0.569620253164557,-0.12658227848101272,0.34177215189873417,0.569620253164557,0.3111111111111111,0.6176470588235294,-0.023286717012524605,0.0018987342482432723,0.04965606704354286,0.02848832681775093,-0.05949063282946647,0.0,-0.027959123911053138,,,,,,,,0,0.0
0.05_0.10,70,0.009823175147175789,0.08120378851890564,0.005567674990743399,0.07308907806873322,-0.008114710450172424,0.5285714285714286,0.5857142857142857,-0.05714285714285716,0.4,0.5857142857142857,0.43902439024390244,0.6551724137931034,-0.01427542045712471,0.014785715378820896,0.05695478990674019,0.07425013184547424,-0.02621190475863615,0.0,-0.00811471380293369,0.771722674369812,0.0,1.0,0.0,0.0,0.5377838611602783,0.0,1,0.014285714285714285
0.10_0.20,113,0.023007076233625412,0.13884441554546356,0.021797168999910355,0.14492568373680115,0.0060812681913375854,0.5221238938053098,0.504424778761062,0.017699115044247815,0.3805309734513274,0.504424778761062,0.40350877192982454,0.6428571428571429,-0.01848178170621395,0.0010796457063406706,0.0484953299164772,0.14750342071056366,0.10377337587245263,0.0,0.006081271908386093,0.6959134936332703,0.5,1.0,1.0,0.0,0.5432895421981812,0.010845333337783813,76,0.672566371681416
0.20_0.30,72,0.0693202018737793,0.2531186640262604,0.05878337845206261,0.24068954586982727,-0.012429118156433105,0.4583333333333333,0.6111111111111112,-0.15277777777777785,0.3472222222222222,0.6111111111111112,0.3409090909090909,0.6428571428571429,-0.01755354553461075,0.05691666156053543,0.05666113644838333,0.23734191060066223,-0.15737289490283238,0.0,-0.012429138283348752,0.6801716685295105,0.6056338028169014,1.0,1.0,0.0,0.5431588888168335,0.011356296949088573,71,0.9861111111111112
0.30_plus,60,0.21650062501430511,0.4400876760482788,0.2047984004020691,0.4281103014945984,-0.01197737455368042,0.4166666666666667,0.55,-0.13333333333333336,0.4666666666666667,0.55,0.3939393939393939,0.4444444444444444,-0.003687203861773014,0.07288333773612976,0.0621911883354187,0.44778338074684143,-0.11239346330079349,0.0,-0.011977312806993727,0.6844740509986877,0.55,1.0,1.0,0.0,0.5392700433731079,0.012482509948313236,60,1.0
