hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
10,16,0.07715128362178802,0.23728083074092865,0.07087323069572449,0.2307996302843094,-0.006481200456619263,0.5,0.4375,0.0625,0.1875,0.4375,0.14285714285714285,0.7777777777777778,-0.011328136548399925,-0.013249997980892658,0.029222777113318443,0.2654184103012085,-0.37690102829901634,0.0,-0.006481199874542657,0.67441725730896,0.5555555555555556,0.5555555555555556,0.6,0.5,0.5040223598480225,0.023524150252342224,9,0.5625
11,16,0.043685950338840485,0.1707838773727417,0.03926468268036842,0.16420036554336548,-0.006583511829376221,0.375,0.5625,-0.1875,0.5625,0.5625,0.4444444444444444,0.2857142857142857,0.002091276692226529,0.05387499928474426,0.0274761114269495,0.1926252394914627,-0.2971107699909119,0.0,-0.006583500769920649,0.684526801109314,0.6,0.8,0.75,0.0,0.5078108310699463,0.02677413821220398,5,0.3125
12,16,0.021061237901449203,0.11587237566709518,0.020916279405355453,0.11085110157728195,-0.005021274089813232,0.5,0.6875,-0.1875,0.5625,0.6875,0.5454545454545454,0.4,0.008316436782479286,0.023374997079372406,0.02881302498281002,0.14373929798603058,0.07928131082750832,0.0,-0.0050212701316923215,0.7202065587043762,0.3333333333333333,0.3333333333333333,0.0,0.5,0.49040284752845764,0.017711216583848,3,0.1875
13,16,0.030417390167713165,0.15226587653160095,0.030352246016263962,0.15192647278308868,-0.00033940374851226807,0.4375,0.75,-0.3125,0.6875,0.75,0.5833333333333334,0.0,0.008429079316556454,0.09849999845027924,0.028842531144618988,0.14850084483623505,0.06768071544326158,0.0,-0.0003394131781533456,0.6867777705192566,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5032314658164978,0.0060708713717758656,3,0.1875
14,16,0.04840140789747238,0.18624919652938843,0.04906412959098816,0.18473896384239197,-0.00151023268699646,0.5625,0.8125,-0.25,0.5,0.8125,0.5384615384615384,0.6666666666666666,0.0014910581521689892,0.11556249856948853,0.02981688268482685,0.19329865276813507,0.24848324369370545,0.0,-0.0015102323377505023,0.7145112752914429,0.4,0.6,0.5,0.0,0.4988822937011719,0.023450996726751328,5,0.3125
15,17,0.040293801575899124,0.15772780776023865,0.03765794262290001,0.15337631106376648,-0.004351496696472168,0.47058823529411764,0.47058823529411764,0.0,0.4117647058823529,0.47058823529411764,0.375,0.5555555555555556,-0.0016537690535187721,0.0282352976500988,0.028529321774840355,0.19293446838855743,-0.12379566539207461,0.0,-0.004351499161737813,0.6924230456352234,0.4,0.8,0.6666666666666666,0.0,0.50677889585495,0.010279317386448383,5,0.29411764705882354
16,17,0.08337470889091492,0.21250714361667633,0.08236535638570786,0.2019662708044052,-0.010540872812271118,0.35294117647058826,0.7647058823529411,-0.41176470588235287,0.35294117647058826,0.7647058823529411,0.3076923076923077,0.5,-0.005611295811831951,0.10999999940395355,0.02905513159930706,0.2680261433124542,0.17165043384316608,0.0,-0.01054089412312298,0.6838955879211426,0.7142857142857143,0.7142857142857143,0.8,0.5,0.5065954327583313,0.024956705048680305,7,0.4117647058823529
17,17,0.12674841284751892,0.28600600361824036,0.1259300708770752,0.2780718207359314,-0.00793418288230896,0.35294117647058826,0.7058823529411765,-0.35294117647058826,0.4117647058823529,0.7058823529411765,0.3333333333333333,0.4,0.0010567614808678627,0.16429410874843597,0.033209770917892456,0.3182976543903351,0.10946904136575229,0.0,-0.007934193017289913,0.704351007938385,0.45454545454545453,0.7272727272727273,0.625,0.0,0.5077924132347107,0.018430398777127266,11,0.6470588235294118
18,17,0.06212080270051956,0.19544589519500732,0.05715496093034744,0.1870354562997818,-0.008410438895225525,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.47058823529411764,0.5294117647058824,0.5555555555555556,0.625,0.010462259873747826,0.047470591962337494,0.04745737463235855,0.23568850755691528,-0.13186716059754824,0.0,-0.008410443551838401,0.7072341442108154,0.5,0.3333333333333333,0.4,1.0,0.48747050762176514,0.016658419743180275,6,0.35294117647058826
19,17,0.048727959394454956,0.18127195537090302,0.043408364057540894,0.17032958567142487,-0.01094236969947815,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.5,0.015573378652334213,0.0457058846950531,0.045931629836559296,0.2047945261001587,-0.20036508499715835,0.0,-0.010942388818982763,0.7190391421318054,0.4,0.6,0.5,0.0,0.4998413026332855,0.024664677679538727,5,0.29411764705882354
20,17,0.030677219852805138,0.14272941648960114,0.02778269164264202,0.1306236982345581,-0.01210571825504303,0.5294117647058824,0.5882352941176471,-0.05882352941176472,0.7058823529411765,0.5882352941176471,0.7,0.2857142857142857,0.019783012568950653,0.02329411543905735,0.037188392132520676,0.16592158377170563,-0.14196467282544822,0.0,-0.012105726746513557,0.6598625779151917,1.0,1.0,1.0,0.0,0.5169223546981812,0.0,1,0.058823529411764705
21,17,0.03988427296280861,0.1531287282705307,0.04211818054318428,0.15475347638130188,0.0016247481107711792,0.6470588235294118,0.5882352941176471,0.05882352941176472,0.5882352941176471,0.5882352941176471,0.7,0.5714285714285714,0.01305682398378849,0.05452941358089447,0.03915420547127724,0.19974163174629211,0.20877069211314592,0.0,0.001624739290598556,0.6598452925682068,1.0,1.0,1.0,0.0,0.5169556140899658,0.005011051893234253,2,0.11764705882352941
22,17,0.0552208311855793,0.19503240287303925,0.0575760118663311,0.19864793121814728,0.0036155283451080322,0.4117647058823529,0.6470588235294118,-0.23529411764705888,0.6470588235294118,0.6470588235294118,0.5454545454545454,0.16666666666666666,0.01721254549920559,0.10000000149011612,0.03713623061776161,0.22136102616786957,0.12242132967838218,0.0,0.0036155212780131776,0.687831461429596,0.5714285714285714,0.5714285714285714,0.6,0.5,0.5079448819160461,0.020919308066368103,7,0.4117647058823529
23,17,0.10763897746801376,0.2521853446960449,0.09711658954620361,0.24232956767082214,-0.009855777025222778,0.4117647058823529,0.5294117647058824,-0.11764705882352944,0.6470588235294118,0.5294117647058824,0.5555555555555556,0.25,0.008434917777776718,0.029117649421095848,0.03175756335258484,0.3108774721622467,-0.4840542796893015,0.0,-0.009855778723516881,0.6705173850059509,0.7142857142857143,0.5714285714285714,0.75,0.6666666666666666,0.5005780458450317,0.018966609612107277,7,0.4117647058823529
