true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0.00_0.05,79,0.002529809484258294,0.038892749696969986,0.0008418163051828742,0.024615228176116943,-0.014277521520853043,0.4430379746835443,0.569620253164557,-0.12658227848101272,0.5949367088607594,0.569620253164557,0.5333333333333333,0.3235294117647059,0.012362688779830933,0.0018987342482432723,0.03667107969522476,0.02848832681775093,-0.1263342748275763,0.0,-0.014277518903718719,,,,,,,,0,0.0
0.05_0.10,70,0.0066048926673829556,0.07159096747636795,0.005567674990743399,0.07308907806873322,0.001498110592365265,0.5285714285714286,0.5857142857142857,-0.05714285714285716,0.4857142857142857,0.5857142857142857,0.5121951219512195,0.5517241379310345,0.007181040942668915,0.014785715378820896,0.038645800203084946,0.07425013184547424,0.08007066091600996,0.0,0.001498105297131197,,,,,,,,0,0.0
0.10_0.20,113,0.02146296575665474,0.13844412565231323,0.021797168999910355,0.14492568373680115,0.006481558084487915,0.5929203539823009,0.504424778761062,0.08849557522123896,0.5752212389380531,0.504424778761062,0.6666666666666666,0.5178571428571429,0.010679807513952255,0.0010796457063406706,0.03640052676200867,0.14750342071056366,0.15937673075395736,0.0,0.006481568329036231,0.6876776814460754,0.5,1.0,1.0,0.0,0.5177252888679504,0.0030546188354492188,2,0.017699115044247787
0.20_0.30,72,0.06437145918607712,0.24790917336940765,0.05878337845206261,0.24068954586982727,-0.007219627499580383,0.4305555555555556,0.6111111111111112,-0.18055555555555558,0.4861111111111111,0.6111111111111112,0.4318181818181818,0.42857142857142855,0.008817624300718307,0.05691666156053543,0.04144978150725365,0.23734191060066223,-0.20373882035017857,0.0,-0.007219619415183037,0.69231778383255,0.4782608695652174,0.5434782608695652,0.5161290322580645,0.4,0.5029801726341248,0.02145080454647541,46,0.6388888888888888
0.30_plus,60,0.20693162083625793,0.4321228265762329,0.2047984004020691,0.4281103014945984,-0.0040125250816345215,0.5166666666666667,0.55,-0.033333333333333326,0.6333333333333333,0.55,0.6363636363636364,0.37037037037037035,0.010014165192842484,0.07288333773612976,0.03666111081838608,0.44778338074684143,-0.03426880919641645,0.0,-0.004012523839871089,0.693410336971283,0.5689655172413793,0.6896551724137931,0.7272727272727273,0.36,0.5050166249275208,0.019710635766386986,58,0.9666666666666667
