feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
h1_close_return_1_31,"(-0.00458, -0.000521]",-0.0035829798772103,-0.0005217559341686,99,0.06035413593053818,0.18572993576526642,0.053674712777137756,0.1667497158050537,-0.018980219960212708,0.43434343434343436,0.5555555555555556,-0.12121212121212122,0.37373737373737376,0.5555555555555556,0.32727272727272727,0.5681818181818182,-0.018508674576878548,0.045232318341732025,0.055165767669677734,0.22856774926185608,-0.03984234829828002,0.0,-0.01898023854668318,0.6810831427574158,0.5901639344262295,1.0,1.0,0.0,0.5430612564086914,0.009774912148714066,61,0.6161616161616161
h1_close_return_1_31,"(-0.000521, 7.72e-05]",-0.0005200834670539,7.678230935592723e-05,98,0.04888073727488518,0.16777992248535156,0.04720861464738846,0.16760806739330292,-0.00017185509204864502,0.5408163265306123,0.5,0.04081632653061229,0.32653061224489793,0.5,0.3673469387755102,0.7142857142857143,-0.029512692242860794,-0.002653059083968401,0.0498080849647522,0.21704289317131042,0.0661005372806708,0.0,-0.0001718622005107438,0.702192485332489,0.47619047619047616,1.0,1.0,0.0,0.5416973829269409,0.010849655605852604,63,0.6428571428571429
h1_close_return_1_31,"(7.72e-05, 0.000655]",7.768699908061727e-05,0.0006453210961332,98,0.03879745677113533,0.15610863268375397,0.03563741222023964,0.14448018372058868,-0.011628448963165283,0.42857142857142855,0.6122448979591837,-0.18367346938775514,0.42857142857142855,0.6122448979591837,0.38333333333333336,0.5,-0.01028539054095745,0.02886734902858734,0.05249616503715515,0.18755382299423218,0.03391120787154304,0.0,-0.011628447176546467,0.6815153956413269,0.5964912280701754,1.0,1.0,0.0,0.5386766791343689,0.011151294223964214,57,0.5816326530612245
h1_close_return_1_31,"(0.000655, 0.00722]",0.0006585897051343,0.0072205660304309,99,0.07096295058727264,0.20235425233840942,0.06067595258355141,0.19556406140327454,-0.006790190935134888,0.5252525252525253,0.5656565656565656,-0.04040404040404033,0.43434343434343436,0.5656565656565656,0.4642857142857143,0.6046511627906976,-0.005678202025592327,0.02758585847914219,0.05691961944103241,0.24549615383148193,-0.22715241259591842,0.0,-0.006790240445748118,0.6896388530731201,0.5285714285714286,1.0,1.0,0.0,0.5360358357429504,0.010539419017732143,70,0.7070707070707071
h1_ma_gap_sma20_31,"(-1.0259999999999998, -0.0886]",-1.0251499999999965,-0.0888499999999794,99,0.05614207312464714,0.18478937447071075,0.046066317707300186,0.16542913019657135,-0.019360244274139404,0.4444444444444444,0.6767676767676768,-0.23232323232323238,0.18181818181818182,0.6767676767676768,0.22388059701492538,0.90625,-0.041685137897729874,0.06262625753879547,0.04284491017460823,0.20740310847759247,-0.02303955531612964,0.0,-0.019360234281236326,0.6651906371116638,0.6833333333333333,1.0,1.0,0.0,0.5438910126686096,0.009470248594880104,60,0.6060606060606061
h1_ma_gap_sma20_31,"(-0.0886, 0.107]",-0.0878999999999905,0.1067999999999926,98,0.04114813730120659,0.15860825777053833,0.037892092019319534,0.15612874925136566,-0.0024795085191726685,0.5612244897959183,0.5408163265306123,0.020408163265306034,0.3877551020408163,0.5408163265306123,0.4528301886792453,0.6888888888888889,-0.01907585747539997,0.035030607134103775,0.04913455620408058,0.1926875114440918,0.06981993682569151,0.0,-0.002479507293248057,0.6901732683181763,0.5714285714285714,1.0,1.0,0.0,0.5400071144104004,0.009985283948481083,63,0.6428571428571429
h1_ma_gap_sma20_31,"(0.107, 0.281]",0.1075000000000159,0.2809000000000026,98,0.06205369532108307,0.17866554856300354,0.0581495501101017,0.1717124879360199,-0.006953060626983643,0.47959183673469385,0.5408163265306123,-0.061224489795918435,0.4489795918367347,0.5408163265306123,0.4339622641509434,0.5333333333333333,-0.009402736090123653,0.014663263224065304,0.057272955775260925,0.241032674908638,-0.003534254922223554,0.0,-0.006953060874069219,0.6918656826019287,0.515625,1.0,1.0,0.0,0.537023663520813,0.01177578791975975,64,0.6530612244897959
h1_ma_gap_sma20_31,"(0.281, 1.286]",0.2811000000000092,1.286249999999967,99,0.059808190912008286,0.19004474580287933,0.055222030729055405,0.18129070103168488,-0.008754044771194458,0.4444444444444444,0.47474747474747475,-0.03030303030303033,0.5454545454545454,0.47474747474747475,0.48936170212765956,0.40384615384615385,0.0062931072898209095,-0.01305050402879715,0.055777136236429214,0.23410236835479736,-0.058165494224245676,0.0,-0.008754069343058743,0.706774115562439,0.421875,1.0,1.0,0.0,0.5383957624435425,0.011098742485046387,64,0.6464646464646465
h1_ma_gap_sma50_31,"(-1.051, -0.0898]",-1.0503599999999835,-0.0912600000000054,99,0.06744038313627243,0.20542442798614502,0.05769142881035805,0.19261690974235535,-0.012807518243789673,0.4444444444444444,0.6363636363636364,-0.19191919191919193,0.2828282828282828,0.6363636363636364,0.2857142857142857,0.7222222222222222,-0.02847304753959179,0.05676767975091934,0.05233211815357208,0.2350616455078125,-0.08868125972082078,0.0,-0.01280754301085541,0.674187421798706,0.6428571428571429,1.0,1.0,0.0,0.5400606989860535,0.010678814724087715,70,0.7070707070707071
h1_ma_gap_sma50_31,"(-0.0898, 0.251]",-0.0855600000000151,0.2504200000000196,98,0.04617200046777725,0.1529824137687683,0.04247751086950302,0.14651259779930115,-0.006469815969467163,0.5102040816326531,0.5816326530612245,-0.0714285714285714,0.37755102040816324,0.5816326530612245,0.40350877192982454,0.6585365853658537,-0.016888514161109924,0.0340714268386364,0.04602821543812752,0.2043672651052475,0.016450825805154688,0.0,-0.006469803358599242,0.679668128490448,0.6071428571428571,1.0,1.0,0.0,0.5375552773475647,0.010810798965394497,56,0.5714285714285714
