feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
h1_close_return_1_31,"(-0.00458, -0.000521]",-0.0035829798772103,-0.0005217559341686,99,0.05586744472384453,0.17213937640190125,0.053674712777137756,0.1667497158050537,-0.005389660596847534,0.3838383838383838,0.5555555555555556,-0.17171717171717177,0.46464646464646464,0.5555555555555556,0.36363636363636365,0.4090909090909091,0.003833771450445056,0.045232318341732025,0.020064692944288254,0.22856774926185608,-0.16438760460769145,0.0,-0.0053896647613410915
h1_close_return_1_31,"(-0.000521, 7.72e-05]",-0.0005200834670539,7.678230935592723e-05,98,0.04676380008459091,0.16707786917686462,0.04720861464738846,0.16760806739330292,0.0005301982164382935,0.5510204081632653,0.5,0.05102040816326525,0.5,0.5,0.5510204081632653,0.5510204081632653,0.0005542348371818662,-0.002653059083968401,0.01712627150118351,0.21704289317131042,0.08708391340652892,0.0,0.0005301657092415358
h1_close_return_1_31,"(7.72e-05, 0.000655]",7.768699908061727e-05,0.0006453210961332,98,0.03598322719335556,0.14670197665691376,0.03563741222023964,0.14448018372058868,-0.0022217929363250732,0.46938775510204084,0.6122448979591837,-0.14285714285714285,0.6122448979591837,0.6122448979591837,0.5666666666666667,0.3157894736842105,0.006088003050535917,0.02886734902858734,0.018096458166837692,0.18755382299423218,0.005833049751589796,0.0,-0.0022217860315897845
h1_close_return_1_31,"(0.000655, 0.00722]",0.0006585897051343,0.0072205660304309,99,0.06411351263523102,0.19783610105514526,0.06067595258355141,0.19556406140327454,-0.0022720396518707275,0.5151515151515151,0.5656565656565656,-0.0505050505050505,0.6464646464646465,0.5656565656565656,0.6428571428571429,0.3488372093023256,0.009194621816277504,0.02758585847914219,0.021024668589234352,0.24549615383148193,-0.29689919589545555,0.0,-0.002272076969963357
h1_ma_gap_sma20_31,"(-1.0259999999999998, -0.0886]",-1.0251499999999965,-0.0888499999999794,99,0.04835791140794754,0.17098748683929443,0.046066317707300186,0.16542913019657135,-0.0055583566427230835,0.40404040404040403,0.6767676767676768,-0.27272727272727276,0.16161616161616163,0.6767676767676768,0.1791044776119403,0.875,-0.01077086292207241,0.06262625753879547,0.014119517058134079,0.20740310847759247,0.04176921152589502,0.0,-0.005558333372593758
h1_ma_gap_sma20_31,"(-0.0886, 0.107]",-0.0878999999999905,0.1067999999999926,98,0.038519687950611115,0.15519417822360992,0.037892092019319534,0.15612874925136566,0.0009345710277557373,0.5510204081632653,0.5408163265306123,0.010204081632652962,0.5204081632653061,0.5408163265306123,0.5660377358490566,0.5333333333333333,0.0016455567674711347,0.035030607134103775,0.014528053812682629,0.1926875114440918,-0.011713784337210511,0.0,0.000934564747193672
h1_ma_gap_sma20_31,"(0.107, 0.281]",0.1075000000000159,0.2809000000000026,98,0.058775644749403,0.17233537137508392,0.0581495501101017,0.1717124879360199,-0.0006228834390640259,0.5306122448979592,0.5408163265306123,-0.010204081632653073,0.6632653061224489,0.5408163265306123,0.6792452830188679,0.35555555555555557,0.00789783988147974,0.014663263224065304,0.01606672815978527,0.241032674908638,-0.048414162012027216,0.0,-0.0006228750755734808
h1_ma_gap_sma20_31,"(0.281, 1.286]",0.2811000000000092,1.286249999999967,99,0.057221703231334686,0.18537719547748566,0.055222030729055405,0.18129070103168488,-0.004086494445800781,0.43434343434343436,0.47474747474747475,-0.04040404040404039,0.8787878787878788,0.47474747474747475,0.8297872340425532,0.07692307692307693,0.020927399396896362,-0.01305050402879715,0.017696384340524673,0.23410236835479736,-0.11467177306098865,0.0,-0.0040864828981946
h1_ma_gap_sma50_31,"(-1.051, -0.0898]",-1.0503599999999835,-0.0912600000000054,99,0.06074928119778633,0.19764825701713562,0.05769142881035805,0.19261690974235535,-0.0050313472747802734,0.40404040404040403,0.6363636363636364,-0.23232323232323232,0.30303030303030304,0.6363636363636364,0.2698412698412698,0.6388888888888888,-0.005075446795672178,0.05676767975091934,0.019897961989045143,0.2350616455078125,-0.13627761005431793,0.0,-0.005031339986475579
h1_ma_gap_sma50_31,"(-0.0898, 0.251]",-0.0855600000000151,0.2504200000000196,98,0.04344428703188896,0.14654554426670074,0.04247751086950302,0.14651259779930115,-3.294646739959717e-05,0.5510204081632653,0.5816326530612245,-0.030612244897959218,0.5204081632653061,0.5816326530612245,0.5614035087719298,0.5365853658536586,0.0016569658182561398,0.0340714268386364,0.015740828588604927,0.2043672651052475,-0.059037436991545796,0.0,-3.29237938080532e-05
