true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
0.00_0.05,79,0.0012478757416829467,0.02891756221652031,0.0008418163051828742,0.024615228176116943,-0.004302334040403366,0.5063291139240507,0.569620253164557,-0.06329113924050633,0.45569620253164556,0.569620253164557,0.4666666666666667,0.5588235294117647,0.002141988603398204,0.0018987342482432723,0.017753735184669495,0.02848832681775093,-0.11965500867504887,0.0,-0.004302334942990513
0.05_0.10,70,0.006039330270141363,0.07353436946868896,0.005567674990743399,0.07308907806873322,-0.0004452913999557495,0.5285714285714286,0.5857142857142857,-0.05714285714285716,0.5714285714285714,0.5857142857142857,0.5853658536585366,0.4482758620689655,0.005757974926382303,0.014785715378820896,0.020412659272551537,0.07425013184547424,-0.009260599499250744,0.0,-0.00044528768131775357
0.10_0.20,113,0.02185429446399212,0.14373928308486938,0.021797168999910355,0.14492568373680115,0.0011864006519317627,0.4778761061946903,0.504424778761062,-0.026548672566371667,0.6017699115044248,0.504424778761062,0.5789473684210527,0.375,0.004692888353019953,0.0010796457063406706,0.018141046166419983,0.14750342071056366,0.045801591736501175,0.0,0.0011864107832842091
0.20_0.30,72,0.06149762123823166,0.2450251281261444,0.05878337845206261,0.24068954586982727,-0.004335582256317139,0.4305555555555556,0.6111111111111112,-0.18055555555555558,0.4861111111111111,0.6111111111111112,0.4318181818181818,0.42857142857142855,0.0034044450148940086,0.05691666156053543,0.019317425787448883,0.23734191060066223,-0.21044529206115697,0.0,-0.004335591440192539
0.30_plus,60,0.20947709679603577,0.4343625605106354,0.2047984004020691,0.4281103014945984,-0.006252259016036987,0.45,0.55,-0.10000000000000003,0.6666666666666666,0.55,0.6060606060606061,0.25925925925925924,0.009884308092296124,0.07288333773612976,0.02158350497484207,0.44778338074684143,-0.23448255236814286,0.0,-0.0062523076603004735
