test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,direction_match,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.0718393847346305,0.0073970584198832,0.7068393751978874,0.7068393751978874,0.6423970488831401,-0.06444232631474733,DOWN,UP,False,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0531399436295032,0.0073970584198832,0.6741399355232716,0.6741399355232716,0.6283970503136516,-0.04574288520962,DOWN,UP,False,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,-0.0068631069734692,0.0073970584198832,-0.6018631355836987,0.6018631355836987,0.5876029701903462,-0.014260165393352509,UP,DOWN,False,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.0285692047327756,0.0073970584198832,-0.5025692116469145,0.5025692116469145,0.4666029484942555,-0.035966263152658995,UP,DOWN,False,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
0,2229,2026-02-12 15:00:00,2026-02-12 17:00:00,USDJPY,152.855,0.4580000042915344,-0.0278596095740795,0.0073970584198832,-0.4858596138656139,0.4858596138656139,0.4506029458716512,-0.03525666799396271,UP,DOWN,False,0.4299999999999784,39.94537384772953,-0.3191687643878822,0.0126519355889009,-0.2766000000000019,-1.0503599999999835,0.001946800561098,-0.4120000000000061,0.5161290322580645
216,2445,2026-02-25 19:00:00,2026-02-25 21:00:00,USDJPY,156.304,0.4639999866485595,-0.0026666403282433,0.0073970584198832,-0.4666666269768029,0.4666666269768029,0.4566029282286763,-0.01006369874812657,UP,DOWN,False,0.3950000000000102,62.0218579234974,0.1432346758577978,0.0001637868210528,0.4895499999999799,0.992100000000022,0.0024563721371722,0.4850000000000136,0.5161290322580645
40,2269,2026-02-16 09:00:00,2026-02-16 11:00:00,USDJPY,152.659,0.4379999935626983,-0.0111605925485491,0.0073970584198832,-0.4491605861112475,0.4491605861112475,0.4306029351428151,-0.01855765096843237,UP,DOWN,False,0.125,13.586097946285731,-0.116107278606421,-0.0636325258303665,-0.4340500000000133,-0.3619600000000105,0.0003014159999474,-0.1450000000000102,0.5483870967741935
126,2355,2026-02-19 23:00:00,2026-02-20 01:00:00,USDJPY,154.8,0.414000004529953,-0.0148759372532367,0.0073970584198832,-0.4288759417831898,0.4288759417831898,0.4066029461100697,-0.022272995673120077,UP,DOWN,False,0.2709999999999866,52.21864951768541,0.2036535874761114,-0.0816317765283778,-0.051400000000001,0.7209200000000067,0.0011382450331127,-0.1739999999999781,0.5161290322580645
10,2239,2026-02-13 01:00:00,2026-02-13 03:00:00,USDJPY,153.024,-0.3740000128746032,0.0546936430037021,0.0073970584198832,0.4286936558783054,0.4286936558783054,0.3813970712944865,-0.04729658458381886,DOWN,UP,False,0.4449999999999932,48.67200000000001,-0.0752335975648179,0.075486633191528,-0.0417500000000075,-0.4489199999999869,-0.0015659254619481,0.1119999999999947,0.5806451612903226
361,2590,2026-03-05 22:00:00,2026-03-06 00:00:00,USDJPY,157.346,0.4129999876022339,-0.0079800803214311,0.0073970584198832,-0.420980067923665,0.420980067923665,0.4056029291823506,-0.015377138741314411,UP,DOWN,False,0.125,58.81696428571463,0.0006683034882257,0.0563120712707406,0.2906999999999868,0.0023800000000164,0.0003496703562186,0.3089999999999975,0.5161290322580645
