hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
14,16,0.05014372244477272,0.18763697147369385,0.04906412959098816,0.18473896384239197,-0.00289800763130188,0.625,0.8125,-0.1875,0.5625,0.8125,0.6153846153846154,0.6666666666666666,0.0005435934290289879,0.11556249856948853,0.0174237173050642,0.19329865276813507,0.11187429035501947,0.0,-0.00289801445615013
15,17,0.04253069683909416,0.1617090404033661,0.03765794262290001,0.15337631106376648,-0.00833272933959961,0.47058823529411764,0.47058823529411764,0.0,0.5294117647058824,0.47058823529411764,0.5,0.4444444444444444,0.002305513946339488,0.0282352976500988,0.020261885598301888,0.19293446838855743,-0.5402733518244233,0.0,-0.00833274702788057
16,17,0.0836317166686058,0.20542597770690918,0.08236535638570786,0.2019662708044052,-0.0034597069025039673,0.4117647058823529,0.7647058823529411,-0.3529411764705882,0.4117647058823529,0.7647058823529411,0.38461538461538464,0.5,0.004995950497686863,0.10999999940395355,0.01921735517680645,0.2680261433124542,-0.0386890970355512,0.0,-0.003459696897634256
17,17,0.12810271978378296,0.28083091974258423,0.1259300708770752,0.2780718207359314,-0.002759099006652832,0.35294117647058826,0.7058823529411765,-0.35294117647058826,0.4117647058823529,0.7058823529411765,0.3333333333333333,0.4,0.00534501438960433,0.16429410874843597,0.020041903480887413,0.3182976543903351,-0.0880065869419064,0.0,-0.002759111037662753
18,17,0.05696825310587883,0.18610738217830658,0.05715496093034744,0.1870354562997818,0.0009280741214752197,0.7647058823529411,0.5294117647058824,0.23529411764705876,0.6470588235294118,0.5294117647058824,0.8888888888888888,0.625,0.012904852628707886,0.047470591962337494,0.02450011856853962,0.23568850755691528,0.03254616445131253,0.0,0.0009280806338852779
19,17,0.04387776553630829,0.17223520576953888,0.043408364057540894,0.17032958567142487,-0.0019056200981140137,0.47058823529411764,0.5294117647058824,-0.05882352941176472,0.7058823529411765,0.5294117647058824,0.6666666666666666,0.25,0.014714332297444344,0.0457058846950531,0.022307803854346275,0.2047945261001587,-0.0524084636601412,0.0,-0.0019056364921305002
20,17,0.02841951511800289,0.13420124351978302,0.02778269164264202,0.1306236982345581,-0.0035775452852249146,0.47058823529411764,0.5882352941176471,-0.11764705882352944,0.7647058823529411,0.5882352941176471,0.7,0.14285714285714285,0.014866729266941547,0.02329411543905735,0.018782183527946472,0.16592158377170563,-0.07472660556638698,0.0,-0.0035775494350887512
21,17,0.043020594865083694,0.1617518812417984,0.04211818054318428,0.15475347638130188,-0.006998404860496521,0.35294117647058826,0.5882352941176471,-0.23529411764705882,0.6470588235294118,0.5882352941176471,0.5,0.14285714285714285,0.010740669444203377,0.05452941358089447,0.02086091972887516,0.19974163174629211,-0.09254628012808569,0.0,-0.006998422336490716
22,17,0.059825580567121506,0.20601050555706024,0.0575760118663311,0.19864793121814728,-0.007362574338912964,0.4117647058823529,0.6470588235294118,-0.23529411764705888,0.6470588235294118,0.6470588235294118,0.5454545454545454,0.16666666666666666,0.012215807102620602,0.10000000149011612,0.020427219569683075,0.22136102616786957,-0.29872515501190483,0.0,-0.00736260002218736
23,17,0.10742725431919098,0.25367799401283264,0.09711658954620361,0.24232956767082214,-0.011348426342010498,0.23529411764705882,0.5294117647058824,-0.29411764705882354,0.5882352941176471,0.5294117647058824,0.3333333333333333,0.125,0.00923923496156931,0.029117649421095848,0.02458602376282215,0.3108774721622467,-0.6399653435448752,0.0,-0.011348393786808155
