test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,direction_match,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
190,2419,2026-02-24 17:00:00,2026-02-24 19:00:00,USDJPY,154.974,0.9739999771118164,0.0265814624726772,0.0073970584198832,-0.9474185146391392,0.9474185146391392,0.9666029186919332,0.01918440405279398,UP,UP,True,0.2220000000000084,71.40139505389891,0.1045747784023092,0.0630072499788678,0.2258999999999673,0.1473799999999983,-0.0012245108401433,0.0060000000000002,0.6129032258064516
189,2418,2026-02-24 16:00:00,2026-02-24 18:00:00,USDJPY,155.164,0.9290000200271606,0.0322284325957298,0.0073970584198832,-0.8967715874314308,0.8967715874314308,0.9216029616072774,0.024831374175846577,UP,UP,True,0.1410000000000195,74.47089947089836,0.106471642226694,0.0806559262979696,0.4251999999999611,0.3326999999999884,-0.0005217559341686,0.2999999999999829,0.6129032258064516
158,2387,2026-02-23 09:00:00,2026-02-23 11:00:00,USDJPY,154.899,-0.843999981880188,-0.0201064869761466,0.0073970584198832,0.8238934949040413,0.8238934949040413,0.8513970403000712,0.02750354539602995,DOWN,DOWN,True,0.1140000000000043,30.62686567164189,-0.0126549917450233,-0.0527830510492608,-0.2785999999999831,-0.149879999999996,-0.0002839753974043,-0.093999999999994,0.5161290322580645
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.0718393847346305,0.0073970584198832,0.7068393751978874,0.7068393751978874,0.6423970488831401,-0.06444232631474733,DOWN,UP,False,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
102,2331,2026-02-18 23:00:00,2026-02-19 01:00:00,USDJPY,153.68,0.6940000057220459,0.0147763425484299,0.0073970584198832,-0.6792236631736159,0.6792236631736159,0.6866029473021626,0.007379284128546715,UP,UP,True,0.2480000000000188,65.65118050266517,0.1220726934536173,0.0245468331865709,0.2003500000000144,0.3196599999999989,-0.0001886681976982,0.0109999999999956,0.5806451612903226
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0531399436295032,0.0073970584198832,0.6741399355232716,0.6741399355232716,0.6283970503136516,-0.04574288520962,DOWN,UP,False,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,0.0036475935485213,0.0073970584198832,-0.6343524178955704,0.6343524178955704,0.6306029530242085,-0.0037494648713618517,UP,UP,True,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.4599999999999795,0.5161290322580645
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,-0.0068631069734692,0.0073970584198832,-0.6018631355836987,0.6018631355836987,0.5876029701903462,-0.014260165393352509,UP,DOWN,False,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
151,2380,2026-02-21 00:00:00,2026-02-21 02:00:00,USDJPY,155.416,-0.5649999976158142,-0.0138138635084033,0.0073970584198832,0.5511861341074109,0.5511861341074109,0.5723970560356975,0.021210921928286552,DOWN,DOWN,True,0.4190000000000111,56.83947532791963,0.135936006204929,-0.0125981179983614,0.223399999999998,0.4818199999999706,0.0010563471001983,-0.132000000000005,0.5161290322580645
6,2235,2026-02-12 21:00:00,2026-02-12 23:00:00,USDJPY,153.115,0.5440000295639038,0.0103298081085085,0.0073970584198832,-0.5336702214553952,0.5336702214553952,0.5366029711440206,0.0029327496886253357,UP,UP,True,0.2139999999999986,48.16191656340354,-0.1788947072318762,0.0637441831827042,0.1075000000000159,-0.5100599999999815,0.0013275609500889,0.0150000000000147,0.5483870967741935
289,2518,2026-03-02 22:00:00,2026-03-03 00:00:00,USDJPY,156.963,0.5569999814033508,0.0300293322652578,0.0073970584198832,-0.526970649138093,0.526970649138093,0.5496029229834676,0.022632273845374584,UP,UP,True,0.1479999999999961,73.76033057851268,0.2453094164515619,0.056099552160634,0.4930500000000108,0.7634999999999934,0.0002995233118356,0.0769999999999981,0.6129032258064516
281,2510,2026-03-02 14:00:00,2026-03-02 16:00:00,USDJPY,156.318,0.515999972820282,0.0046401661820709,0.0073970584198832,-0.511359806638211,0.511359806638211,0.5086029144003987,-0.0027568922378122807,UP,UP,True,0.1829999999999927,54.72186287192824,0.0820919825570172,0.0268866296729848,0.1825000000000045,0.2640399999999943,0.0002111527017949,0.1950000000000216,0.5161290322580645
79,2308,2026-02-18 00:00:00,2026-02-18 02:00:00,USDJPY,153.278,0.5199999809265137,0.0123298214748501,0.0073970584198832,-0.5076701594516635,0.5076701594516635,0.5126029225066304,0.004932763054966927,UP,UP,True,0.3650000000000091,42.5588865096352,-0.0539133341864612,0.0022586109004428,0.0900499999999908,0.1253399999999658,0.0014046503727223,0.5559999999999832,0.5483870967741935
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.0285692047327756,0.0073970584198832,-0.5025692116469145,0.5025692116469145,0.4666029484942555,-0.035966263152658995,UP,DOWN,False,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
0,2229,2026-02-12 15:00:00,2026-02-12 17:00:00,USDJPY,152.855,0.4580000042915344,-0.0278596095740795,0.0073970584198832,-0.4858596138656139,0.4858596138656139,0.4506029458716512,-0.03525666799396271,UP,DOWN,False,0.4299999999999784,39.94537384772953,-0.3191687643878822,0.0126519355889009,-0.2766000000000019,-1.0503599999999835,0.001946800561098,-0.4120000000000061,0.5161290322580645
216,2445,2026-02-25 19:00:00,2026-02-25 21:00:00,USDJPY,156.304,0.4639999866485595,-0.0026666403282433,0.0073970584198832,-0.4666666269768029,0.4666666269768029,0.4566029282286763,-0.01006369874812657,UP,DOWN,False,0.3950000000000102,62.0218579234974,0.1432346758577978,0.0001637868210528,0.4895499999999799,0.992100000000022,0.0024563721371722,0.4850000000000136,0.5161290322580645
40,2269,2026-02-16 09:00:00,2026-02-16 11:00:00,USDJPY,152.659,0.4379999935626983,-0.0111605925485491,0.0073970584198832,-0.4491605861112475,0.4491605861112475,0.4306029351428151,-0.01855765096843237,UP,DOWN,False,0.125,13.586097946285731,-0.116107278606421,-0.0636325258303665,-0.4340500000000133,-0.3619600000000105,0.0003014159999474,-0.1450000000000102,0.5483870967741935
288,2517,2026-03-02 21:00:00,2026-03-02 23:00:00,USDJPY,156.916,0.4639999866485595,0.0202142316848039,0.0073970584198832,-0.4437857549637556,0.4437857549637556,0.4566029282286763,0.012817173264920712,UP,UP,True,0.2220000000000084,68.70646766169239,0.2418216600877372,0.0666366838369678,0.4908000000000072,0.7343999999999937,-0.000573226500898,0.0819999999999936,0.5806451612903226
348,2577,2026-03-05 09:00:00,2026-03-05 11:00:00,USDJPY,157.004,-0.4379999935626983,-0.0077986414544284,0.0073970584198832,0.4302013521082699,0.4302013521082699,0.4453970519825816,0.015195699874311741,DOWN,DOWN,True,0.0379999999999824,35.1087771942978,-0.1234982679530105,-0.0213804829521279,-0.2209000000000003,-0.4188400000000172,-0.0001655734573011,0.0289999999999963,0.5806451612903226
126,2355,2026-02-19 23:00:00,2026-02-20 01:00:00,USDJPY,154.8,0.414000004529953,-0.0148759372532367,0.0073970584198832,-0.4288759417831898,0.4288759417831898,0.4066029461100697,-0.022272995673120077,UP,DOWN,False,0.2709999999999866,52.21864951768541,0.2036535874761114,-0.0816317765283778,-0.051400000000001,0.7209200000000067,0.0011382450331127,-0.1739999999999781,0.5161290322580645
