true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0.00_0.05,79,0.002721177414059639,0.040400195866823196,0.0008418163051828742,0.024615228176116943,-0.015784967690706253,0.43037974683544306,0.569620253164557,-0.13924050632911394,0.6075949367088608,0.569620253164557,0.5333333333333333,0.29411764705882354,0.01655665971338749,0.0018987342482432723,0.03802599385380745,0.02848832681775093,-0.11481691032184373,0.0,-0.015784971309896513,,,,,,,,0,0.0
0.05_0.10,70,0.00657767103984952,0.07070354372262955,0.005567674990743399,0.07308907806873322,0.002385534346103668,0.5714285714285714,0.5857142857142857,-0.014285714285714346,0.5285714285714286,0.5857142857142857,0.5853658536585366,0.5517241379310345,0.010865995660424232,0.014785715378820896,0.04086843878030777,0.07425013184547424,0.10232454928643729,0.0,0.0023855292105249082,,,,,,,,0,0.0
0.10_0.20,113,0.021805381402373314,0.1385563611984253,0.021797168999910355,0.14492568373680115,0.0063693225383758545,0.5929203539823009,0.504424778761062,0.08849557522123896,0.6106194690265486,0.504424778761062,0.7017543859649122,0.48214285714285715,0.014368539676070213,0.0010796457063406706,0.038498565554618835,0.14750342071056366,0.14181229057651132,0.0,0.0063693242197015625,0.6878677606582642,0.5,1.0,1.0,0.0,0.5261315107345581,0.0033254921436309814,2,0.017699115044247787
0.20_0.30,72,0.06466158479452133,0.24841724336147308,0.05878337845206261,0.24068954586982727,-0.007727697491645813,0.4305555555555556,0.6111111111111112,-0.18055555555555558,0.5138888888888888,0.6111111111111112,0.45454545454545453,0.39285714285714285,0.010988520458340645,0.05691666156053543,0.04204074665904045,0.23734191060066223,-0.22316903291564583,0.0,-0.007727704360149801,0.6988343596458435,0.4782608695652174,0.5,0.4838709677419355,0.4666666666666667,0.49828463792800903,0.04656513035297394,46,0.6388888888888888
0.30_plus,60,0.20617426931858063,0.4313407242298126,0.2047984004020691,0.4281103014945984,-0.0032304227352142334,0.5166666666666667,0.55,-0.033333333333333326,0.6333333333333333,0.55,0.6363636363636364,0.37037037037037035,0.01291328202933073,0.07288333773612976,0.037175245583057404,0.44778338074684143,-0.020602693715541347,0.0,-0.003230493779604629,0.7007679343223572,0.5344827586206896,0.6551724137931034,0.6666666666666666,0.36,0.5054017901420593,0.04088972881436348,58,0.9666666666666667
