experiment,mae,mae_delta_vs_baseline,direction_accuracy,direction_accuracy_delta_vs_baseline,correlation,pred_up_ratio,direction_head_accuracy,direction_head_bce,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_eval_count,direction_head_active_ratio
multitask_w0_25,0.1712661236524582,-0.0026018917560577393,0.5050761421319797,-0.053299492385786795,-0.022375808696396424,0.5456852791878173,0.5406091370558376,0.6885877251625061,0.9263959390862944,0.9181818181818182,0.06321839080459771,,
neutral_q0_75_w0_1,0.17133226990699768,-0.002668038010597229,0.5101522842639594,-0.048223350253807085,-0.02495619531633758,0.5558375634517766,0.5283018867924528,0.6928279995918274,0.6320754716981132,0.6307692307692307,0.36585365853658536,106,0.26903553299492383
base,0.1714298576116562,-0.0027656257152557373,0.5050761421319797,-0.053299492385786795,0.027454068896874337,0.41878172588832485,,,,,,,
neutral_q0_8_w0_1,0.1714683622121811,-0.0028041303157806396,0.5152284263959391,-0.043147208121827374,-0.028136697541731953,0.565989847715736,0.5111111111111111,0.7008046507835388,0.4666666666666667,0.48214285714285715,0.5588235294117647,90,0.22842639593908629
neutral_q0_75_w0_25,0.17148280143737793,-0.002818569540977478,0.5152284263959391,-0.043147208121827374,-0.026643258047151244,0.5812182741116751,0.5094339622641509,0.6996854543685913,0.5943396226415094,0.5846153846153846,0.3902439024390244,106,0.26903553299492383
neutral_q0_8_w0_25,0.17177751660346985,-0.003113284707069397,0.5076142131979695,-0.050761421319796995,-0.030892438450909276,0.5685279187817259,0.4777777777777778,0.7135301232337952,0.4777777777777778,0.4642857142857143,0.5,90,0.22842639593908629
neutral_q0_5_w0_25,0.17806309461593628,-0.009398862719535828,0.4796954314720812,-0.07868020304568529,-0.04639866756287396,0.383248730964467,0.5480769230769231,0.6876047849655151,1.0,1.0,0.0,208,0.5279187817258884
neutral_q0_4_w0_25,0.1780746579170227,-0.009410426020622253,0.48223350253807107,-0.07614213197969544,-0.04733736064536395,0.39086294416243655,0.545816733067729,0.6888657808303833,1.0,1.0,0.0,251,0.6370558375634517
neutral_q0_6_w0_25,0.17816445231437683,-0.00950022041797638,0.4746192893401015,-0.083756345177665,-0.04694364989880556,0.383248730964467,0.5609756097560976,0.686851978302002,1.0,1.0,0.0,164,0.41624365482233505
