experiment,mae,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,correlation,pred_up_ratio,direction_head_accuracy,direction_head_bce,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall
base,0.1714298576116562,0.16866423189640045,-0.0027656257152557373,0.5050761421319797,0.5583756345177665,-0.053299492385786795,0.027454068896874337,0.41878172588832485,,,,,
multitask_w0_1,0.17132389545440674,0.16866423189640045,-0.0026596635580062866,0.5,0.5583756345177665,-0.058375634517766506,-0.025190649791714183,0.5406091370558376,0.5558375634517766,0.6879947185516357,0.9822335025380711,0.9818181818181818,0.017241379310344827
multitask_w0_25,0.1712661236524582,0.16866423189640045,-0.0026018917560577393,0.5050761421319797,0.5583756345177665,-0.053299492385786795,-0.022375808696396424,0.5456852791878173,0.5406091370558376,0.6885877251625061,0.9263959390862944,0.9181818181818182,0.06321839080459771
multitask_w0_5,0.17849422991275787,0.16866423189640045,-0.009829998016357422,0.4746192893401015,0.5583756345177665,-0.083756345177665,-0.04769428596288884,0.3680203045685279,0.5532994923857868,0.6882573366165161,0.9796954314720813,0.9772727272727273,0.017241379310344827
multitask_w1_0,0.17896096408367157,0.16866423189640045,-0.010296732187271118,0.4746192893401015,0.5583756345177665,-0.083756345177665,-0.048214321354387406,0.35279187817258884,0.5431472081218274,0.6886022090911865,0.9746192893401016,0.9636363636363636,0.011494252873563218
