test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,direction_target,direction_target_label,direction_target_active,direction_target_scaled_delta,direction_prob_up,direction_logit,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,pred_direction_head,direction_match,direction_head_match,direction_head_agrees_with_regression,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.1033677533268928,0.0073970584198832,0.0,DOWN,1.0,-1.6996787786483765,0.5150018334388733,0.060025405138731,0.7383677437901497,0.7383677437901497,0.6423970488831401,-0.0959706949070096,DOWN,UP,UP,False,,,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0703732147812843,0.0073970584198832,0.0,DOWN,1.0,-1.6083916425704956,0.5237816572189331,0.0951983258128166,0.6913732066750526,0.6913732066750526,0.6283970503136516,-0.06297615636140108,DOWN,UP,UP,False,,,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,-0.0264295898377895,0.0073970584198832,1.0,UP,1.0,2.134493112564087,0.5362974405288696,0.1454455256462097,-0.6644296012818813,0.6644296012818813,0.6306029530242085,-0.03382664825767279,UP,DOWN,UP,False,,,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.4599999999999795,0.5161290322580645
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,-0.0520273558795452,0.0073970584198832,1.0,UP,1.0,2.0840632915496826,0.5479909777641296,0.192556694149971,-0.6470273844897747,0.6470273844897747,0.5876029701903462,-0.05942441429942846,UP,DOWN,UP,False,,,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.0930230692028999,0.0073970584198832,1.0,UP,1.0,1.731190800666809,0.5341610908508301,0.1368575245141983,-0.5670230761170387,0.5670230761170387,0.4666029484942555,-0.10042012762278324,UP,DOWN,UP,False,,,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
6,2235,2026-02-12 21:00:00,2026-02-12 23:00:00,USDJPY,153.115,0.5440000295639038,-0.011770986020565,0.0073970584198832,1.0,UP,1.0,1.4694759845733645,0.5328226089477539,0.1314794570207595,-0.5557710155844688,0.5557710155844688,0.5366029711440206,-0.019168044440448284,UP,DOWN,UP,False,,,0.2139999999999986,48.16191656340354,-0.1788947072318762,0.0637441831827042,0.1075000000000159,-0.5100599999999815,0.0013275609500889,0.0150000000000147,0.5483870967741935
281,2510,2026-03-02 14:00:00,2026-03-02 16:00:00,USDJPY,156.318,0.515999972820282,-0.032863013446331,0.0073970584198832,1.0,UP,1.0,1.7935348749160769,0.5494996905326843,0.1986491680145263,-0.548862986266613,0.548862986266613,0.5086029144003987,-0.040260071866214275,UP,DOWN,UP,False,,,0.1829999999999927,54.72186287192824,0.0820919825570172,0.0268866296729848,0.1825000000000045,0.2640399999999943,0.0002111527017949,0.1950000000000216,0.5161290322580645
0,2229,2026-02-12 15:00:00,2026-02-12 17:00:00,USDJPY,152.855,0.4580000042915344,-0.0832337886095047,0.0073970584198832,1.0,UP,1.0,1.565276861190796,0.5436429381370544,0.1750171482563018,-0.5412337929010391,0.5412337929010391,0.4506029458716512,-0.09063084702938795,UP,DOWN,UP,False,,,0.4299999999999784,39.94537384772953,-0.3191687643878822,0.0126519355889009,-0.2766000000000019,-1.0503599999999835,0.001946800561098,-0.4120000000000061,0.5161290322580645
216,2445,2026-02-25 19:00:00,2026-02-25 21:00:00,USDJPY,156.304,0.4639999866485595,-0.0656703785061836,0.0073970584198832,1.0,UP,1.0,1.4298921823501587,0.5387160181999207,0.1551747173070907,-0.5296703651547432,0.5296703651547432,0.4566029282286763,-0.07306743692606688,UP,DOWN,UP,False,,,0.3950000000000102,62.0218579234974,0.1432346758577978,0.0001637868210528,0.4895499999999799,0.992100000000022,0.0024563721371722,0.4850000000000136,0.5161290322580645
126,2355,2026-02-19 23:00:00,2026-02-20 01:00:00,USDJPY,154.8,0.414000004529953,-0.0870717912912368,0.0073970584198832,1.0,UP,1.0,1.6235294342041016,0.5469775795936584,0.188466191291809,-0.5010717958211899,0.5010717958211899,0.4066029461100697,-0.09446884971112018,UP,DOWN,UP,False,,,0.2709999999999866,52.21864951768541,0.2036535874761114,-0.0816317765283778,-0.051400000000001,0.7209200000000067,0.0011382450331127,-0.1739999999999781,0.5161290322580645
