true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0.00_0.05,79,0.004105743486434221,0.052786897867918015,0.0008418163051828742,0.024615228176116943,-0.02817166969180107,0.4430379746835443,0.569620253164557,-0.12658227848101272,0.34177215189873417,0.569620253164557,0.3111111111111111,0.6176470588235294,-0.02379324473440647,0.0018987342482432723,0.04971669241786003,0.02848832681775093,-0.05730627104151292,0.0,-0.028171675394678228,,,,,,,,0,0.0
0.05_0.10,70,0.009832167066633701,0.08126039803028107,0.005567674990743399,0.07308907806873322,-0.008171319961547852,0.5285714285714286,0.5857142857142857,-0.05714285714285716,0.4,0.5857142857142857,0.43902439024390244,0.6551724137931034,-0.014658325351774693,0.014785715378820896,0.05688223987817764,0.07425013184547424,-0.025635489183051866,0.0,-0.008171316582177363,,,,,,,,0,0.0
0.10_0.20,113,0.023047778755426407,0.1389051228761673,0.021797168999910355,0.14492568373680115,0.00602056086063385,0.5132743362831859,0.504424778761062,0.008849557522123908,0.3893805309734513,0.504424778761062,0.40350877192982454,0.625,-0.01893387921154499,0.0010796457063406706,0.04854488745331764,0.14750342071056366,0.10241046501440662,0.0,0.00602056413262555,0.6947753429412842,0.5,1.0,1.0,0.0,0.5340213775634766,0.00801901239901781,34,0.3008849557522124
0.20_0.30,72,0.06938222795724869,0.2532041072845459,0.05878337845206261,0.24068954586982727,-0.012514561414718628,0.4444444444444444,0.6111111111111112,-0.16666666666666674,0.3333333333333333,0.6111111111111112,0.3181818181818182,0.6428571428571429,-0.018083710223436356,0.05691666156053543,0.056651756167411804,0.23734191060066223,-0.1567983443477339,0.0,-0.01251454811750187,0.6832475662231445,0.6,1.0,1.0,0.0,0.5373737812042236,0.009696342051029205,70,0.9722222222222222
0.30_plus,60,0.21664169430732727,0.44019049406051636,0.2047984004020691,0.4281103014945984,-0.012080192565917969,0.4166666666666667,0.55,-0.13333333333333336,0.4666666666666667,0.55,0.3939393939393939,0.4444444444444444,-0.004055329132825136,0.07288333773612976,0.0621466226875782,0.44778338074684143,-0.11409275533368723,0.0,-0.012080221809446812,0.6865672469139099,0.55,1.0,1.0,0.0,0.534282922744751,0.01156041119247675,60,1.0
