weekday,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,weekday_name
0,45,0.07259856909513474,0.20651741325855255,0.06764804571866989,0.19962777197360992,-0.006889641284942627,0.5333333333333333,0.6888888888888889,-0.15555555555555556,0.5333333333333333,0.6888888888888889,0.5483870967741935,0.5,0.005941707640886307,0.07553333044052124,0.06384725868701935,0.2510089576244354,-0.02101574289788348,0.0,-0.006889627522064577,0.6795073747634888,0.6,0.8666666666666667,0.8387096774193549,0.07142857142857142,0.5187830328941345,0.015733806416392326,Mon
1,72,0.05971427261829376,0.17653927206993103,0.05620087683200836,0.16471733152866364,-0.011821940541267395,0.4722222222222222,0.6111111111111112,-0.13888888888888895,0.5,0.6111111111111112,0.4772727272727273,0.4642857142857143,-0.0028888017404824495,0.04758332669734955,0.059111934155225754,0.23363633453845978,0.03306573056920957,0.0,-0.01182196046122246,0.6830580234527588,0.625,0.9861111111111112,1.0,0.03571428571428571,0.5244505405426025,0.00958628673106432,Tue
2,72,0.052160635590553284,0.1719944030046463,0.045561764389276505,0.15585538744926453,-0.016139015555381775,0.4583333333333333,0.4861111111111111,-0.02777777777777779,0.16666666666666666,0.4861111111111111,0.11428571428571428,0.7837837837837838,-0.050357524305582047,0.026277778670191765,0.041993655264377594,0.21261534094810486,0.03814134481191317,0.0,-0.016139021233862474,0.6969269514083862,0.5,0.9861111111111112,1.0,0.02702702702702703,0.5318868160247803,0.014702820219099522,Wed
3,81,0.05629150941967964,0.18316294252872467,0.04873887076973915,0.1741483360528946,-0.009014606475830078,0.49382716049382713,0.5679012345679012,-0.07407407407407407,0.38271604938271603,0.5679012345679012,0.391304347826087,0.6285714285714286,-0.017224274575710297,0.02102469652891159,0.044667910784482956,0.2203478217124939,-0.21743216262289838,0.0,-0.00901461826108488,0.6862503886222839,0.5679012345679012,1.0,1.0,0.0,0.5284873843193054,0.01007002592086792,Thu
4,96,0.05027596279978752,0.17880301177501678,0.042552005499601364,0.1698397547006607,-0.008963257074356079,0.4166666666666667,0.5416666666666666,-0.12499999999999994,0.3125,0.5416666666666666,0.25,0.6136363636363636,-0.01936602033674717,0.010177083313465118,0.05222541093826294,0.20626263320446014,-0.1917630035239858,0.0,-0.008963242287184882,0.6885108351707458,0.5416666666666666,1.0,1.0,0.0,0.5281993746757507,0.0093988673761487,Fri
5,28,0.03454365208745003,0.14063338935375214,0.036989811807870865,0.14209243655204773,0.0014590471982955933,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5,0.625,-0.011261462233960629,-0.05782143026590347,0.05003942549228668,0.1809319108724594,0.1581937138912581,0.0,0.0014590483291873045,0.6983329057693481,0.42857142857142855,1.0,1.0,0.0,0.5353518724441528,0.006701105739921331,Sat
