weekday,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,weekday_name
0,45,0.06687350571155548,0.20383256673812866,0.06764804571866989,0.19962777197360992,-0.004204794764518738,0.4888888888888889,0.6888888888888889,-0.2,0.4888888888888889,0.6888888888888889,0.4838709677419355,0.5,0.005123566370457411,0.07553333044052124,0.03709455952048302,0.2510089576244354,0.13239784498972718,0.0,-0.004204781560434227,0.6802415251731873,0.6,0.9111111111111111,0.8709677419354839,0.0,0.5177516937255859,0.014380369335412979,Mon
1,72,0.05732037127017975,0.1725359559059143,0.05620087683200836,0.16471733152866364,-0.007818624377250671,0.5138888888888888,0.6111111111111112,-0.09722222222222232,0.5972222222222222,0.6111111111111112,0.5909090909090909,0.39285714285714285,0.01400532852858305,0.04758332669734955,0.04281042888760567,0.23363633453845978,0.011286746566086352,0.0,-0.00781861991466333,0.6842365264892578,0.6111111111111112,1.0,1.0,0.0,0.5226033926010132,0.00967640895396471,Tue
2,72,0.04799149930477142,0.15722531080245972,0.045561764389276505,0.15585538744926453,-0.0013699233531951904,0.4444444444444444,0.4861111111111111,-0.041666666666666685,0.3472222222222222,0.4861111111111111,0.2857142857142857,0.5945945945945946,-0.00841517560184002,0.026277778670191765,0.025196511298418045,0.21261534094810486,-0.0884560350939049,0.0,-0.0013699061625326798,0.6946222186088562,0.5277777777777778,0.9583333333333334,1.0,0.08108108108108109,0.5262625217437744,0.012352535501122475,Wed
3,81,0.05017206445336342,0.17589449882507324,0.04873887076973915,0.1741483360528946,-0.00174616277217865,0.49382716049382713,0.5679012345679012,-0.07407407407407407,0.6049382716049383,0.5679012345679012,0.5869565217391305,0.37142857142857144,0.007377737667411566,0.02102469652891159,0.029363730922341347,0.2203478217124939,-0.04408159530235061,0.0,-0.0017461633355713244,0.6866130828857422,0.5679012345679012,1.0,1.0,0.0,0.5246517062187195,0.009722176939249039,Thu
4,96,0.04623002931475639,0.17193590104579926,0.042552005499601364,0.1698397547006607,-0.00209614634513855,0.5208333333333334,0.5416666666666666,-0.02083333333333326,0.5416666666666666,0.5416666666666666,0.5576923076923077,0.4772727272727273,0.009846665896475315,0.010177083313465118,0.03941376879811287,0.20626263320446014,-0.1311385233115758,0.0,-0.0020961181799066283,0.6879609227180481,0.5416666666666666,1.0,1.0,0.0,0.5248009562492371,0.010673626326024532,Fri
5,28,0.03745802491903305,0.1368943154811859,0.036989811807870865,0.14209243655204773,0.005198121070861816,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.7857142857142857,0.42857142857142855,0.9166666666666666,0.3125,0.035078272223472595,-0.05782143026590347,0.04037712886929512,0.1809319108724594,0.379097663000526,0.0,0.005198135572884782,0.6971889138221741,0.42857142857142855,1.0,1.0,0.0,0.5339533090591431,0.008050634525716305,Sat
