hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
0,17,0.08746995776891708,0.22815607488155365,0.08881199359893799,0.24042300879955292,0.012266933917999268,0.5882352941176471,0.4117647058823529,0.17647058823529416,0.5882352941176471,0.4117647058823529,0.7142857142857143,0.5,-0.0017797412583604455,-0.0766470655798912,0.05769359692931175,0.2859170734882355,0.0973681077907377,0.0,0.012266921153401637,0.7127475738525391,0.4117647058823529,1.0,1.0,0.0,0.525996744632721,0.011543725617229939
1,17,0.046540528535842896,0.18013373017311096,0.05355469137430191,0.18952856957912445,0.009394839406013489,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.6363636363636364,-0.02184862270951271,-0.12241175770759583,0.053973373025655746,0.1915838122367859,0.15424390976555097,0.0,0.009394804727943531,0.7249673008918762,0.35294117647058826,1.0,1.0,0.0,0.531130313873291,0.011967089027166367
2,17,0.04303796589374542,0.16240328550338745,0.041253674775362015,0.15819983184337616,-0.0042034536600112915,0.5882352941176471,0.47058823529411764,0.11764705882352944,0.29411764705882354,0.47058823529411764,0.375,0.7777777777777778,-0.020352985709905624,-0.009058824740350246,0.03909557685256004,0.20244228839874268,-0.025210605941868646,0.0,-0.004203453824362327,0.7017269730567932,0.5294117647058824,0.9411764705882353,1.0,0.1111111111111111,0.5334821343421936,0.0132808368653059
3,17,0.028727222234010696,0.1470421701669693,0.025823421776294708,0.13566003739833832,-0.011382132768630981,0.35294117647058826,0.7058823529411765,-0.35294117647058826,0.29411764705882354,0.7058823529411765,0.25,0.6,-0.017100512981414795,0.07999999821186066,0.0373050719499588,0.14336051046848297,0.24730298235940928,0.0,-0.011382153312511294,0.6606875658035278,0.7058823529411765,1.0,1.0,0.0,0.5350050926208496,0.011943178251385689
4,17,0.02056853659451008,0.12141016125679016,0.019587911665439606,0.11264792829751968,-0.008762232959270477,0.47058823529411764,0.6470588235294118,-0.17647058823529416,0.23529411764705882,0.6470588235294118,0.2727272727272727,0.8333333333333334,-0.020101647824048996,0.006941178347915411,0.03635778650641441,0.13995607197284698,0.1053716324965731,0.0,-0.008762235972372925,0.6740894317626953,0.6470588235294118,1.0,1.0,0.0,0.5333826541900635,0.011190416291356087
5,17,0.020785266533493996,0.11897726356983185,0.018844671547412872,0.10978806018829346,-0.009189203381538391,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.35294117647058826,0.5294117647058824,0.4444444444444444,0.75,-0.029066890478134155,-0.0059411777183413506,0.0460696667432785,0.13662636280059814,0.04279304066417639,0.0,-0.009189195163986256,0.6892359852790833,0.5294117647058824,1.0,1.0,0.0,0.5324336886405945,0.010147122666239738
6,17,0.020243901759386063,0.11908891797065735,0.01676892302930355,0.10195242613554001,-0.01713649183511734,0.35294117647058826,0.4117647058823529,-0.05882352941176466,0.47058823529411764,0.4117647058823529,0.2857142857142857,0.4,-0.03520270809531212,-0.05499999597668648,0.05520196259021759,0.11347039043903351,-0.3136426858519765,0.0,-0.01713648717850448,0.6950327157974243,0.4117647058823529,1.0,1.0,0.0,0.5317140221595764,0.009232657961547375
7,13,0.005956485867500305,0.06610630452632904,0.007114651147276163,0.07073643058538437,0.004630126059055328,0.5384615384615384,0.23076923076923078,0.30769230769230765,0.23076923076923078,0.23076923076923078,0.0,0.7,-0.04164855182170868,-0.0556153878569603,0.04495960846543312,0.05607212334871292,-0.11820098361878874,0.0,0.004630123999399632,0.730396568775177,0.23076923076923078,1.0,1.0,0.0,0.5307915210723877,0.010947697795927525
8,13,0.018015656620264053,0.10824118554592133,0.015508290380239487,0.10496946424245834,-0.003271721303462982,0.6153846153846154,0.5384615384615384,0.07692307692307698,0.15384615384615385,0.5384615384615384,0.2857142857142857,1.0,-0.0426379032433033,-0.004307691473513842,0.03938455507159233,0.12398099899291992,0.0384994249721963,0.0,-0.0032717357031428005,0.69439697265625,0.5384615384615384,1.0,1.0,0.0,0.5286951661109924,0.009248621761798859
9,16,0.09252144396305084,0.23386551439762115,0.09813481569290161,0.22991175949573517,-0.003953754901885986,0.5,0.4375,0.0625,0.3125,0.4375,0.2857142857142857,0.6666666666666666,-0.044803179800510406,-0.0650625005364418,0.048172809183597565,0.30476945638656616,0.10537180419002361,0.0,-0.0039537487900816026,0.7078738212585449,0.4375,1.0,1.0,0.0,0.5277479887008667,0.01026012934744358
10,16,0.08391545712947845,0.24223780632019043,0.07087323069572449,0.2307996302843094,-0.011438176035881042,0.5625,0.4375,0.125,0.25,0.4375,0.2857142857142857,0.7777777777777778,-0.03760691359639168,-0.013249997980892658,0.05089970678091049,0.2654184103012085,-0.38063267798091166,0.0,-0.011438178014941524,0.7021137475967407,0.4375,1.0,1.0,0.0,0.5268237590789795,0.010527200065553188
11,16,0.052007850259542465,0.182686910033226,0.03926468268036842,0.16420036554336548,-0.018486544489860535,0.5,0.5625,-0.0625,0.3125,0.5625,0.3333333333333333,0.7142857142857143,-0.032880038022994995,0.05387499928474426,0.04781996086239815,0.1926252394914627,-0.2762998285572601,0.0,-0.018486545886844393,0.6835371255874634,0.5625,1.0,1.0,0.0,0.529234766960144,0.01177943218499422
12,16,0.02417146787047386,0.12934690713882446,0.020916279405355453,0.11085110157728195,-0.01849580556154251,0.375,0.6875,-0.3125,0.4375,0.6875,0.36363636363636365,0.4,-0.022428954020142555,0.023374997079372406,0.04242526367306709,0.14373929798603058,0.03176545673329501,0.0,-0.018495808588340892,0.6741443276405334,0.6875,1.0,1.0,0.0,0.5284774303436279,0.012495865114033222
13,16,0.035701390355825424,0.1574368178844452,0.030352246016263962,0.15192647278308868,-0.005510345101356506,0.5625,0.75,-0.1875,0.3125,0.75,0.4166666666666667,1.0,-0.01964487135410309,0.09849999845027924,0.042215656489133835,0.14850084483623505,0.16681001932594863,0.0,-0.005510341143235563,0.6746147871017456,0.6875,0.9375,0.9166666666666666,0.0,0.5278593897819519,0.0112950149923563
14,16,0.05557513236999512,0.19588425755500793,0.04906412959098816,0.18473896384239197,-0.011145293712615967,0.4375,0.8125,-0.375,0.25,0.8125,0.3076923076923077,1.0,-0.023232202976942062,0.11556249856948853,0.042003899812698364,0.19329865276813507,0.17350863786515974,0.0,-0.011145281197968865,0.6606646776199341,0.8125,1.0,1.0,0.0,0.527238130569458,0.011233212426304817
15,17,0.05300689861178398,0.17006222903728485,0.03765794262290001,0.15337631106376648,-0.01668591797351837,0.4117647058823529,0.47058823529411764,-0.05882352941176472,0.35294117647058826,0.47058823529411764,0.25,0.5555555555555556,-0.018281282857060432,0.0282352976500988,0.05409944802522659,0.19293446838855743,-0.5122149818821888,0.0,-0.016685937421725066,0.6885530948638916,0.47058823529411764,1.0,1.0,0.0,0.5256418585777283,0.01315181516110897
16,17,0.09206218272447586,0.22532057762145996,0.08236535638570786,0.2019662708044052,-0.02335430681705475,0.29411764705882354,0.7647058823529411,-0.4705882352941176,0.29411764705882354,0.7647058823529411,0.23076923076923078,0.5,-0.012622637674212456,0.10999999940395355,0.0541093535721302,0.2680261433124542,-0.07791836373747679,0.0,-0.023354314870255827,0.6708316206932068,0.7058823529411765,0.9411764705882353,0.9230769230769231,0.0,0.5223984718322754,0.0105520598590374
17,17,0.1364826112985611,0.29490578174591064,0.1259300708770752,0.2780718207359314,-0.016833961009979248,0.47058823529411764,0.7058823529411765,-0.23529411764705888,0.4117647058823529,0.7058823529411765,0.4166666666666667,0.6,-0.012489072047173977,0.16429410874843597,0.058443326503038406,0.3182976543903351,-0.013474668940241089,0.0,-0.016833976623328275,0.6753939390182495,0.7058823529411765,1.0,1.0,0.0,0.5242056846618652,0.010212563909590244
18,17,0.05904959887266159,0.18173882365226746,0.05715496093034744,0.1870354562997818,0.005296632647514343,0.6470588235294118,0.5294117647058824,0.11764705882352944,0.4117647058823529,0.5294117647058824,0.5555555555555556,0.75,0.007321086712181568,0.047470591962337494,0.07442367821931839,0.23568850755691528,0.10405297787841548,0.0,0.005296656587982892,0.699550986289978,0.5294117647058824,0.8823529411764706,0.8888888888888888,0.125,0.5210369825363159,0.01137524377554655
19,17,0.046926308423280716,0.1752077341079712,0.043408364057540894,0.17032958567142487,-0.004878148436546326,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.5,0.008453447371721268,0.0457058846950531,0.06641637533903122,0.2047945261001587,0.029899440056964776,0.0,-0.004878155394073791,0.6975485682487488,0.47058823529411764,0.9411764705882353,0.8888888888888888,0.0,0.5223259329795837,0.011538506485521793
