true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
0.00_0.05,79,0.004204449709504843,0.05337270721793175,0.0008418163051828742,0.024615228176116943,-0.028757479041814804,0.4430379746835443,0.569620253164557,-0.12658227848101272,0.34177215189873417,0.569620253164557,0.3111111111111111,0.6176470588235294,-0.0252541471272707,0.0018987342482432723,0.04996835067868233,0.02848832681775093,-0.05576003966429222,0.0,-0.028757477034755712,0.6874614953994751,0.5569620253164557,0.9873417721518988,0.9777777777777777,0.0,0.5311973690986633,0.01183040626347065
0.05_0.10,70,0.0099746473133564,0.08182547986507416,0.005567674990743399,0.07308907806873322,-0.008736401796340942,0.5285714285714286,0.5857142857142857,-0.05714285714285716,0.37142857142857144,0.5857142857142857,0.4146341463414634,0.6896551724137931,-0.015863975510001183,0.014785715378820896,0.05726565048098564,0.07425013184547424,-0.028552028991427152,0.0,-0.008736402115651533,0.6837199926376343,0.5714285714285714,0.9857142857142858,0.975609756097561,0.0,0.5269877910614014,0.013162190094590187
0.10_0.20,113,0.023153848946094513,0.13901762664318085,0.021797168999910355,0.14492568373680115,0.0059080570936203,0.5221238938053098,0.504424778761062,0.017699115044247815,0.36283185840707965,0.504424778761062,0.38596491228070173,0.6607142857142857,-0.020306792110204697,0.0010796457063406706,0.048733972012996674,0.14750342071056366,0.09986807042241187,0.0,0.005908062607379611,0.6951293349266052,0.49557522123893805,0.9911504424778761,0.9824561403508771,0.0,0.5282575488090515,0.011899469420313835
0.20_0.30,72,0.06960386782884598,0.2534637153148651,0.05878337845206261,0.24068954586982727,-0.012774169445037842,0.4444444444444444,0.6111111111111112,-0.16666666666666674,0.3333333333333333,0.6111111111111112,0.3181818181818182,0.6428571428571429,-0.019534459337592125,0.05691666156053543,0.056796491146087646,0.23734191060066223,-0.15586076868923854,0.0,-0.012774175265803933,0.6845174431800842,0.6111111111111112,0.9722222222222222,0.9772727272727273,0.03571428571428571,0.5270741581916809,0.011155095882713795
0.30_plus,60,0.21695023775100708,0.4404021203517914,0.2047984004020691,0.4281103014945984,-0.012291818857192993,0.4,0.55,-0.15000000000000002,0.45,0.55,0.36363636363636365,0.4444444444444444,-0.005487988702952862,0.07288333773612976,0.062262341380119324,0.44778338074684143,-0.1151655802177208,0.0,-0.01229179212823509,0.6861446499824524,0.5666666666666667,0.95,0.9696969696969697,0.07407407407407407,0.5234968662261963,0.011774078011512756
