test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,direction_target,direction_target_label,direction_target_active,direction_target_scaled_delta,direction_prob_up,direction_logit,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,pred_direction_head,direction_match,direction_head_match,direction_head_agrees_with_regression,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
190,2419,2026-02-24 17:00:00,2026-02-24 19:00:00,USDJPY,154.974,0.9739999771118164,0.0657920837402343,0.0073970584198832,1.0,UP,1.0,4.673704624176025,0.5035542249679565,0.0142170786857604,-0.908207893371582,0.908207893371582,0.9666029186919332,0.058395025320351124,UP,UP,UP,True,,,0.2220000000000084,71.40139505389891,0.1045747784023092,0.0630072499788678,0.2258999999999673,0.1473799999999983,-0.0012245108401433,0.0060000000000002,0.6129032258064516
189,2418,2026-02-24 16:00:00,2026-02-24 18:00:00,USDJPY,155.164,0.9290000200271606,0.045091439038515,0.0073970584198832,1.0,UP,1.0,4.713343620300293,0.5021768808364868,0.0087076425552368,-0.8839085809886456,0.8839085809886456,0.9216029616072774,0.03769438061863184,UP,UP,UP,True,,,0.1410000000000195,74.47089947089836,0.106471642226694,0.0806559262979696,0.4251999999999611,0.3326999999999884,-0.0005217559341686,0.2999999999999829,0.6129032258064516
158,2387,2026-02-23 09:00:00,2026-02-23 11:00:00,USDJPY,154.899,-0.843999981880188,-0.0401178859174251,0.0073970584198832,0.0,DOWN,1.0,-2.863929271697998,0.4866204857826233,-0.0535308644175529,0.8038820959627628,0.8038820959627628,0.8513970403000712,0.04751494433730841,DOWN,DOWN,DOWN,True,,,0.1140000000000043,30.62686567164189,-0.0126549917450233,-0.0527830510492608,-0.2785999999999831,-0.149879999999996,-0.0002839753974043,-0.093999999999994,0.5161290322580645
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0676470100879669,0.0073970584198832,0.0,DOWN,1.0,-1.6083916425704956,0.4991242885589599,-0.0035027489066123,0.6886470019817352,0.6886470019817352,0.6283970503136516,-0.06024995166808367,DOWN,UP,DOWN,False,,,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.0397496633231639,0.0073970584198832,0.0,DOWN,1.0,-1.6996787786483765,0.4919190406799316,-0.0323266014456748,0.6747496537864208,0.6747496537864208,0.6423970488831401,-0.032352604903280735,DOWN,UP,DOWN,False,,,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
102,2331,2026-02-18 23:00:00,2026-02-19 01:00:00,USDJPY,153.68,0.6940000057220459,0.02970702201128,0.0073970584198832,1.0,UP,1.0,3.898876428604126,0.5274062752723694,0.1097351908683776,-0.6642929837107658,0.6642929837107658,0.6866029473021626,0.02230996359139681,UP,UP,UP,True,,,0.2480000000000188,65.65118050266517,0.1220726934536173,0.0245468331865709,0.2003500000000144,0.3196599999999989,-0.0001886681976982,0.0109999999999956,0.5806451612903226
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,-0.0102702267467975,0.0073970584198832,1.0,UP,1.0,2.134493112564087,0.5047267079353333,0.018907256424427,-0.6482702381908894,0.6482702381908894,0.6306029530242085,-0.017667285166680813,UP,DOWN,UP,False,,,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.4599999999999795,0.5161290322580645
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,0.0116285867989063,0.0073970584198832,1.0,UP,1.0,2.0840632915496826,0.5115875005722046,0.0463583320379257,-0.5833714418113232,0.5833714418113232,0.5876029701903462,0.004231528379023075,UP,UP,UP,True,,,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
151,2380,2026-02-21 00:00:00,2026-02-21 02:00:00,USDJPY,155.416,-0.5649999976158142,-0.0183618441224098,0.0073970584198832,0.0,DOWN,1.0,-2.080265045166016,0.5305058360099792,0.1221751645207405,0.5466381534934044,0.5466381534934044,0.5723970560356975,0.025758902542293072,DOWN,DOWN,UP,True,,,0.4190000000000111,56.83947532791963,0.135936006204929,-0.0125981179983614,0.223399999999998,0.4818199999999706,0.0010563471001983,-0.132000000000005,0.5161290322580645
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.0641151815652847,0.0073970584198832,1.0,UP,1.0,1.731190800666809,0.4883483648300171,-0.0466148480772972,-0.5381151884794235,0.5381151884794235,0.4666029484942555,-0.07151223998516804,UP,DOWN,DOWN,False,,,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
