true_abs_delta_band,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0.00_0.05,79,0.0025857144501060247,0.03924059122800827,0.0008418163051828742,0.024615228176116943,-0.014625363051891327,0.45569620253164556,0.569620253164557,-0.11392405063291144,0.6075949367088608,0.569620253164557,0.5555555555555556,0.3235294117647059,0.014024673961102962,0.0018987342482432723,0.037067074328660965,0.02848832681775093,-0.11985251613215822,0.0,-0.01462535836875344,,,,,,,,0,0.0
0.05_0.10,70,0.006634644232690334,0.0715111568570137,0.005567674990743399,0.07308907806873322,0.001577921211719513,0.5571428571428572,0.5857142857142857,-0.02857142857142858,0.5142857142857142,0.5857142857142857,0.5609756097560976,0.5517241379310345,0.00877700001001358,0.014785715378820896,0.03953619301319122,0.07425013184547424,0.08135630451265025,0.0,0.0015779125105057539,,,,,,,,0,0.0
0.10_0.20,113,0.021601052954792976,0.13860321044921875,0.021797168999910355,0.14492568373680115,0.0063224732875823975,0.5752212389380531,0.504424778761062,0.07079646017699115,0.5929203539823009,0.504424778761062,0.6666666666666666,0.48214285714285715,0.01174031849950552,0.0010796457063406706,0.037017572671175,0.14750342071056366,0.150191407245087,0.0,0.006322481817837839,0.6452246904373169,1.0,1.0,1.0,0.0,0.5245446562767029,0.0,1,0.008849557522123894
0.20_0.30,72,0.06448166072368622,0.2481106072664261,0.05878337845206261,0.24068954586982727,-0.007421061396598816,0.4305555555555556,0.6111111111111112,-0.18055555555555558,0.4861111111111111,0.6111111111111112,0.4318181818181818,0.42857142857142855,0.009538000449538231,0.05691666156053543,0.041656363755464554,0.23734191060066223,-0.21091172794777985,0.0,-0.0074210750301265055,0.6985554695129395,0.48484848484848486,0.42424242424242425,0.43478260869565216,0.6,0.4960879683494568,0.03664548695087433,33,0.4583333333333333
0.30_plus,60,0.2068432867527008,0.43211039900779724,0.2047984004020691,0.4281103014945984,-0.0040000975131988525,0.5333333333333333,0.55,-0.01666666666666672,0.6166666666666667,0.55,0.6363636363636364,0.4074074074074074,0.010555497370660305,0.07288333773612976,0.03677285835146904,0.44778338074684143,-0.03329013965127378,0.0,-0.004000084257374207,0.7031225562095642,0.5178571428571429,0.48214285714285715,0.5,0.5416666666666666,0.49838635325431824,0.031220020726323128,56,0.9333333333333333
