hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0,17,0.09533940255641937,0.24018391966819763,0.08881199359893799,0.24042300879955292,0.00023908913135528564,0.5294117647058824,0.4117647058823529,0.11764705882352944,0.6470588235294118,0.4117647058823529,0.7142857142857143,0.4,0.017345137894153595,-0.0766470655798912,0.037879254668951035,0.2859170734882355,-0.15334018930402232,0.0,0.00023910485427170055,0.6994931101799011,0.5,0.5,0.5,0.5,0.5095522999763489,0.022776560857892036,6,0.35294117647058826
1,17,0.06258033961057663,0.20489957928657532,0.05355469137430191,0.18952856957912445,-0.015371009707450867,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.5882352941176471,0.35294117647058826,0.6666666666666666,0.45454545454545453,0.01993429660797119,-0.12241175770759583,0.04469894990324974,0.1915838122367859,-0.2111016524553161,0.0,-0.015371029484359651,0.7688004970550537,0.0,1.0,0.0,0.0,0.5363974571228027,0.005593359470367432,2,0.11764705882352941
2,17,0.03990872576832771,0.15005484223365784,0.041253674775362015,0.15819983184337616,0.008144989609718323,0.5294117647058824,0.47058823529411764,0.05882352941176472,0.8235294117647058,0.47058823529411764,0.875,0.2222222222222222,0.03285890445113182,-0.009058824740350246,0.03588368743658066,0.20244228839874268,0.2834989801059069,0.0,0.00814498791142421,0.7481343746185303,0.0,0.75,0.0,0.0,0.5137760639190674,0.026546021923422813,4,0.23529411764705882
3,17,0.01966850459575653,0.11367660015821457,0.025823421776294708,0.13566003739833832,0.02198343724012375,0.7058823529411765,0.7058823529411765,0.0,0.8823529411764706,0.7058823529411765,0.9166666666666666,0.2,0.04345493018627167,0.07999999821186066,0.036292608827352524,0.14336051046848297,0.339849535483115,0.0,0.021983438719283148,0.6671199202537537,0.5,0.5,0.5,0.0,0.5143393278121948,0.034448012709617615,2,0.11764705882352941
4,17,0.019701898097991943,0.10762035846710205,0.019587911665439606,0.11264792829751968,0.005027569830417633,0.5882352941176471,0.6470588235294118,-0.05882352941176472,0.8235294117647058,0.6470588235294118,0.8181818181818182,0.16666666666666666,0.032241951674222946,0.006941178347915411,0.030956555157899857,0.13995607197284698,0.1712894976877067,0.0,0.0050275696660665795,0.660597026348114,1.0,0.0,0.0,1.0,0.48345714807510376,0.0,1,0.058823529411764705
5,17,0.021267887204885483,0.11539281159639359,0.018844671547412872,0.10978806018829346,-0.005604751408100128,0.6470588235294118,0.5294117647058824,0.11764705882352944,0.7647058823529411,0.5294117647058824,0.8888888888888888,0.375,0.01653863489627838,-0.0059411777183413506,0.03579011186957359,0.13662636280059814,-0.08332024247209902,0.0,-0.00560474746367509,0.6790033578872681,1.0,0.0,0.0,1.0,0.4928778111934662,0.0,1,0.058823529411764705
6,17,0.018222374841570854,0.1007365807890892,0.01676892302930355,0.10195242613554001,0.0012158453464508057,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.5882352941176471,0.4117647058823529,0.5714285714285714,0.4,0.007695229724049568,-0.05499999597668648,0.038668375462293625,0.11347039043903351,0.00901278226000603,0.0,0.00121583510190248,0.6963865756988525,0.0,1.0,0.0,0.0,0.5016170740127563,0.0,1,0.058823529411764705
7,13,0.007088559679687023,0.067076675593853,0.007114651147276163,0.07073643058538437,0.003659754991531372,0.6923076923076923,0.23076923076923078,0.4615384615384615,0.38461538461538464,0.23076923076923078,0.6666666666666666,0.7,0.0006943150074221194,-0.0556153878569603,0.04372844845056534,0.05607212334871292,0.2321589101562588,0.0,0.003659753504997282,,,,,,,,0,0.0
8,13,0.01824895292520523,0.11764662712812424,0.015508290380239487,0.10496946424245834,-0.012677162885665894,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.3076923076923077,0.5384615384615384,0.14285714285714285,0.5,-0.0035693037789314985,-0.004307691473513842,0.03507842868566513,0.12398099899291992,-0.18930751590101394,0.0,-0.012677167255717976,0.6528619527816772,1.0,0.5,1.0,1.0,0.5039756298065186,0.02056899666786194,2,0.15384615384615385
9,16,0.09327534586191177,0.22502663731575012,0.09813481569290161,0.22991175949573517,0.004885122179985046,0.5625,0.4375,0.125,0.25,0.4375,0.2857142857142857,0.7777777777777778,-0.01174635998904705,-0.0650625005364418,0.03203003853559494,0.30476945638656616,0.17812451778727814,0.0,0.004885119036771375,0.6906480193138123,0.42857142857142855,0.14285714285714285,0.0,0.75,0.4813937544822693,0.02974039874970913,7,0.4375
10,16,0.07752084732055664,0.23859235644340515,0.07087323069572449,0.2307996302843094,-0.007792726159095764,0.5,0.4375,0.0625,0.1875,0.4375,0.14285714285714285,0.7777777777777778,-0.009883455000817776,-0.013249997980892658,0.030493810772895813,0.2654184103012085,-0.3788604317557872,0.0,-0.007792728603817523,0.6676774024963379,0.625,0.375,0.5,0.75,0.4974220097064972,0.03988455981016159,8,0.5
11,16,0.044037505984306335,0.17114277184009552,0.03926468268036842,0.16420036554336548,-0.0069424062967300415,0.4375,0.5625,-0.125,0.625,0.5625,0.5555555555555556,0.2857142857142857,0.00316876033321023,0.05387499928474426,0.02825642004609108,0.1926252394914627,-0.32735052857545516,0.0,-0.006942399777472009,0.7050063014030457,0.4,0.6,0.5,0.0,0.5011138916015625,0.04587168246507645,5,0.3125
12,16,0.021079087629914284,0.1160990446805954,0.020916279405355453,0.11085110157728195,-0.005247943103313446,0.5,0.6875,-0.1875,0.5625,0.6875,0.5454545454545454,0.4,0.009292921051383018,0.023374997079372406,0.029729094356298447,0.14373929798603058,0.07769522550197779,0.0,-0.005247937049716729,0.7617446780204773,0.5,0.0,0.0,1.0,0.46058523654937744,0.03148789703845978,2,0.125
13,16,0.03037288412451744,0.1521812379360199,0.030352246016263962,0.15192647278308868,-0.0002547651529312134,0.4375,0.75,-0.3125,0.6875,0.75,0.5833333333333334,0.0,0.009595360606908798,0.09849999845027924,0.02981995791196823,0.14850084483623505,0.05339332741605147,0.0,-0.0002547585172578805,0.7047913670539856,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4943789541721344,0.012866560369729996,3,0.1875
14,16,0.04817831888794899,0.18544942140579224,0.04906412959098816,0.18473896384239197,-0.0007104575634002686,0.5625,0.8125,-0.25,0.5,0.8125,0.5384615384615384,0.6666666666666666,0.0026881112717092037,0.11556249856948853,0.030670765787363052,0.19329865276813507,0.24182493215801112,0.0,-0.0007104562246240684,0.7150075435638428,0.5,0.75,0.6666666666666666,0.0,0.4977795481681824,0.024279268458485603,4,0.25
15,17,0.040564972907304764,0.15816658735275269,0.03765794262290001,0.15337631106376648,-0.004790276288986206,0.47058823529411764,0.47058823529411764,0.0,0.4117647058823529,0.47058823529411764,0.375,0.5555555555555556,-0.0007224343717098236,0.0282352976500988,0.0293944850564003,0.19293446838855743,-0.14447321630185933,0.0,-0.004790286971803977,0.712779700756073,0.5,0.25,0.3333333333333333,1.0,0.48954564332962036,0.018000910058617592,4,0.23529411764705882
16,17,0.08348143100738525,0.21211954951286316,0.08236535638570786,0.2019662708044052,-0.010153278708457947,0.35294117647058826,0.7647058823529411,-0.41176470588235287,0.35294117647058826,0.7647058823529411,0.3076923076923077,0.5,-0.0045067016035318375,0.10999999940395355,0.029732348397374153,0.2680261433124542,0.14759406167688685,0.0,-0.01015328358420554,0.7033419013023376,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5017179846763611,0.04143671691417694,6,0.35294117647058826
17,17,0.12626934051513672,0.28571391105651855,0.1259300708770752,0.2780718207359314,-0.007642090320587158,0.4117647058823529,0.7058823529411765,-0.2941176470588236,0.35294117647058826,0.7058823529411765,0.3333333333333333,0.6,0.0019663902930915356,0.16429410874843597,0.033735908567905426,0.3182976543903351,0.11791881734253733,0.0,-0.0076421279569759085,0.7086610198020935,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.5,0.506924569606781,0.02905253879725933,9,0.5294117647058824
18,17,0.06182500347495079,0.19515550136566162,0.05715496093034744,0.1870354562997818,-0.008120045065879822,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.47058823529411764,0.5294117647058824,0.5555555555555556,0.625,0.011183747090399265,0.047470591962337494,0.04756629467010498,0.23568850755691528,-0.12026954548259632,0.0,-0.008120027809020339,0.7470758557319641,0.5,0.5,0.5,0.0,0.47475042939186096,0.030795928090810776,4,0.23529411764705882
19,17,0.048642177134752274,0.18178844451904297,0.043408364057540894,0.17032958567142487,-0.011458858847618103,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.5,0.01622191071510315,0.0457058846950531,0.04599279537796974,0.2047945261001587,-0.19729864105428097,0.0,-0.011458861312883735,0.7516247034072876,0.25,0.5,0.3333333333333333,0.0,0.49291133880615234,0.037115491926670074,4,0.23529411764705882
20,17,0.030986320227384567,0.14355480670928955,0.02778269164264202,0.1306236982345581,-0.012931108474731445,0.5294117647058824,0.5882352941176471,-0.05882352941176472,0.7058823529411765,0.5882352941176471,0.7,0.2857142857142857,0.020402343943715096,0.02329411543905735,0.037719160318374634,0.16592158377170563,-0.1618018958837458,0.0,-0.012931096477105334,,,,,,,,0,0.0
