timestamp,time,open,high,low,close
2025-09-11 01:00:00+0900,1757520000,147.531,147.598,147.26,147.402
2025-09-11 03:00:00+0900,1757527200,147.403,147.441,147.279,147.373
2025-09-11 05:00:00+0900,1757534400,147.373,147.391,147.244,147.323
2025-09-11 07:00:00+0900,1757541600,147.322,147.465,147.313,147.45
2025-09-11 09:00:00+0900,1757548800,147.451,147.451,147.288,147.343
2025-09-11 11:00:00+0900,1757556000,147.341,147.463,147.278,147.457
2025-09-11 13:00:00+0900,1757563200,147.458,147.477,147.32,147.465
2025-09-11 15:00:00+0900,1757570400,147.466,147.474,147.412,147.432
2025-09-11 17:00:00+0900,1757577600,147.432,147.789,147.428,147.721
2025-09-11 19:00:00+0900,1757584800,147.725,147.863,147.652,147.848
2025-09-11 21:00:00+0900,1757592000,147.848,147.992,147.84,147.968
2025-09-11 23:00:00+0900,1757599200,147.969,148.175,147.361,147.525
2025-09-12 01:00:00+0900,1757606400,147.517,147.616,146.99,147.186
2025-09-12 03:00:00+0900,1757613600,147.186,147.307,146.985,147.053
2025-09-12 05:00:00+0900,1757620800,147.05,147.304,147.047,147.172
2025-09-12 07:00:00+0900,1757628000,147.173,147.232,147.083,147.199
2025-09-12 09:00:00+0900,1757635200,147.19,147.224,147.074,147.184
2025-09-12 11:00:00+0900,1757642400,147.178,147.326,147.147,147.225
2025-09-12 13:00:00+0900,1757649600,147.229,147.478,147.219,147.421
2025-09-12 15:00:00+0900,1757656800,147.421,147.546,147.42,147.501
2025-09-12 17:00:00+0900,1757664000,147.5,147.553,147.323,147.403
2025-09-12 19:00:00+0900,1757671200,147.403,147.926,147.239,147.892
2025-09-12 21:00:00+0900,1757678400,147.891,147.982,147.742,147.752
2025-09-12 23:00:00+0900,1757685600,147.751,148.07,147.685,147.845
2025-09-13 01:00:00+0900,1757692800,147.846,147.886,147.585,147.666
2025-09-13 03:00:00+0900,1757700000,147.665,147.872,147.627,147.68
2025-09-13 05:00:00+0900,1757707200,147.677,147.677,147.469,147.483
2025-09-13 07:00:00+0900,1757714400,147.483,147.719,147.462,147.56
2025-09-15 09:00:00+0900,1757894400,147.516,147.765,147.505,147.707
2025-09-15 11:00:00+0900,1757901600,147.702,147.728,147.543,147.547
2025-09-15 13:00:00+0900,1757908800,147.547,147.609,147.507,147.515
2025-09-15 15:00:00+0900,1757916000,147.514,147.517,147.338,147.403
2025-09-15 17:00:00+0900,1757923200,147.402,147.606,147.388,147.53
2025-09-15 19:00:00+0900,1757930400,147.53,147.596,147.371,147.412
2025-09-15 21:00:00+0900,1757937600,147.409,147.429,147.245,147.395
2025-09-15 23:00:00+0900,1757944800,147.395,147.476,147.249,147.267
2025-09-16 01:00:00+0900,1757952000,147.267,147.469,147.228,147.416
2025-09-16 03:00:00+0900,1757959200,147.416,147.43,147.24,147.337
2025-09-16 05:00:00+0900,1757966400,147.337,147.369,147.239,147.323
2025-09-16 07:00:00+0900,1757973600,147.322,147.429,147.308,147.311
2025-09-16 09:00:00+0900,1757980800,147.311,147.399,147.29,147.393
2025-09-16 11:00:00+0900,1757988000,147.393,147.495,147.331,147.443
2025-09-16 13:00:00+0900,1757995200,147.443,147.536,147.113,147.153
2025-09-16 15:00:00+0900,1758002400,147.153,147.198,146.969,147.015
2025-09-16 17:00:00+0900,1758009600,147.016,147.071,146.78,146.9
2025-09-16 19:00:00+0900,1758016800,146.898,147.09,146.692,146.994
2025-09-16 21:00:00+0900,1758024000,146.995,147.088,146.865,147.055
2025-09-16 23:00:00+0900,1758031200,147.055,147.257,146.878,147.1
2025-09-17 01:00:00+0900,1758038400,147.1,147.137,146.518,146.522
2025-09-17 03:00:00+0900,1758045600,146.522,146.679,146.347,146.355
2025-09-17 05:00:00+0900,1758052800,146.355,146.4,146.277,146.344
2025-09-17 07:00:00+0900,1758060000,146.344,146.505,146.344,146.454
2025-09-17 09:00:00+0900,1758067200,146.451,146.518,146.299,146.494
2025-09-17 11:00:00+0900,1758074400,146.491,146.565,146.209,146.531
2025-09-17 13:00:00+0900,1758081600,146.532,146.606,146.429,146.538
2025-09-17 15:00:00+0900,1758088800,146.537,146.563,146.433,146.455
2025-09-17 17:00:00+0900,1758096000,146.454,146.553,146.37,146.496
2025-09-17 19:00:00+0900,1758103200,146.497,146.678,146.372,146.453
2025-09-17 21:00:00+0900,1758110400,146.453,146.453,146.201,146.274
