timestamp,time,open,high,low,close,spread
2025-09-26 00:00:00+0900,1758812400,148.84,148.86,148.803,148.825,0.003
2025-09-26 00:15:00+0900,1758813300,148.825,148.858,148.802,148.822,0.003
2025-09-26 00:30:00+0900,1758814200,148.822,149.248,148.822,149.196,0.003
2025-09-26 00:45:00+0900,1758815100,149.197,149.353,149.161,149.242,0.003
2025-09-26 01:00:00+0900,1758816000,149.242,149.303,149.163,149.213,0.003
2025-09-26 01:15:00+0900,1758816900,149.212,149.241,149.149,149.178,0.003
2025-09-26 01:30:00+0900,1758817800,149.177,149.275,149.146,149.274,0.003
2025-09-26 01:45:00+0900,1758818700,149.274,149.475,149.264,149.425,0.003
2025-09-26 02:00:00+0900,1758819600,149.43,149.475,149.338,149.452,0.003
2025-09-26 02:15:00+0900,1758820500,149.452,149.478,149.369,149.447,0.003
2025-09-26 02:30:00+0900,1758821400,149.447,149.607,149.445,149.533,0.003
2025-09-26 02:45:00+0900,1758822300,149.532,149.635,149.526,149.634,0.003
2025-09-26 03:00:00+0900,1758823200,149.634,149.685,149.624,149.667,0.003
2025-09-26 03:15:00+0900,1758824100,149.667,149.754,149.65,149.752,0.003
2025-09-26 03:30:00+0900,1758825000,149.749,149.842,149.747,149.794,0.003
2025-09-26 03:45:00+0900,1758825900,149.798,149.827,149.758,149.782,0.003
2025-09-26 04:00:00+0900,1758826800,149.785,149.816,149.707,149.746,0.003
2025-09-26 04:15:00+0900,1758827700,149.746,149.862,149.728,149.745,0.003
2025-09-26 04:30:00+0900,1758828600,149.745,149.799,149.729,149.787,0.003
2025-09-26 04:45:00+0900,1758829500,149.786,149.821,149.767,149.813,0.003
2025-09-26 05:00:00+0900,1758830400,149.813,149.851,149.778,149.789,0.003
2025-09-26 05:15:00+0900,1758831300,149.789,149.888,149.774,149.882,0.003
2025-09-26 05:30:00+0900,1758832200,149.882,149.921,149.857,149.858,0.003
2025-09-26 05:45:00+0900,1758833100,149.857,149.885,149.759,149.804,0.003
2025-09-26 06:00:00+0900,1758834000,149.804,149.927,149.729,149.912,0.003
2025-09-26 06:15:00+0900,1758834900,149.912,149.919,149.861,149.876,0.003
2025-09-26 06:30:00+0900,1758835800,149.876,149.899,149.827,149.865,0.003
2025-09-26 06:45:00+0900,1758836700,149.865,149.904,149.82,149.885,0.003
2025-09-26 07:00:00+0900,1758837600,149.886,149.895,149.79,149.791,0.005
2025-09-26 07:15:00+0900,1758838500,149.791,149.791,149.724,149.782,0.005
2025-09-26 07:30:00+0900,1758839400,149.782,149.823,149.774,149.808,0.005
2025-09-26 07:45:00+0900,1758840300,149.808,149.811,149.763,149.77,0.005
2025-09-26 08:00:00+0900,1758841200,149.77,149.8,149.744,149.784,0.005
2025-09-26 08:15:00+0900,1758842100,149.783,149.784,149.751,149.775,0.005
2025-09-26 08:30:00+0900,1758843000,149.775,149.811,149.775,149.782,0.005
2025-09-26 08:45:00+0900,1758843900,149.783,149.789,149.752,149.776,0.007
2025-09-26 09:00:00+0900,1758844800,149.776,149.788,149.758,149.758,0.035
2025-09-26 09:15:00+0900,1758845700,149.759,149.793,149.704,149.767,0.077
2025-09-26 09:30:00+0900,1758846600,149.769,149.81,149.676,149.758,0.06
2025-09-26 09:45:00+0900,1758847500,149.758,149.775,149.726,149.755,0.049
2025-09-26 10:00:00+0900,1758848400,149.754,149.793,149.738,149.764,0.019
2025-09-26 10:15:00+0900,1758849300,149.764,149.764,149.717,149.737,0.019
2025-09-26 10:30:00+0900,1758850200,149.738,149.794,149.736,149.759,0.023
2025-09-26 10:45:00+0900,1758851100,149.769,149.782,149.722,149.737,0.005
2025-09-26 11:00:00+0900,1758852000,149.736,149.813,149.728,149.808,0.005
2025-09-26 11:15:00+0900,1758852900,149.808,149.898,149.8,149.884,0.005
2025-09-26 11:30:00+0900,1758853800,149.878,149.959,149.833,149.891,0.005
2025-09-26 11:45:00+0900,1758854700,149.89,149.931,149.849,149.869,0.005
2025-09-26 12:00:00+0900,1758855600,149.869,149.942,149.808,149.855,0.003
2025-09-26 12:15:00+0900,1758856500,149.856,149.884,149.793,149.796,0.003
2025-09-26 12:30:00+0900,1758857400,149.796,149.842,149.759,149.773,0.003
2025-09-26 12:45:00+0900,1758858300,149.773,149.795,149.634,149.685,0.003
2025-09-26 13:00:00+0900,1758859200,149.685,149.742,149.63,149.729,0.003
2025-09-26 13:15:00+0900,1758860100,149.729,149.783,149.712,149.765,0.003
2025-09-26 13:30:00+0900,1758861000,149.765,149.824,149.74,149.797,0.003
2025-09-26 13:45:00+0900,1758861900,149.797,149.848,149.777,149.826,0.003
2025-09-26 14:00:00+0900,1758862800,149.823,149.831,149.773,149.818,0.003
2025-09-26 14:15:00+0900,1758863700,149.819,149.823,149.703,149.716,0.003
2025-09-26 14:30:00+0900,1758864600,149.716,149.73,149.691,149.718,0.003
2025-09-26 14:45:00+0900,1758865500,149.719,149.74,149.689,149.72,0.003
2025-09-26 15:00:00+0900,1758866400,149.72,149.745,149.695,149.741,0.003
2025-09-26 15:15:00+0900,1758867300,149.74,149.743,149.692,149.694,0.003
2025-09-26 15:30:00+0900,1758868200,149.694,149.721,149.666,149.671,0.003
2025-09-26 15:45:00+0900,1758869100,149.671,149.703,149.668,149.701,0.003
2025-09-26 16:00:00+0900,1758870000,149.702,149.719,149.672,149.681,0.003
2025-09-26 16:15:00+0900,1758870900,149.681,149.727,149.661,149.721,0.003
2025-09-26 16:30:00+0900,1758871800,149.721,149.728,149.67,149.69,0.003
2025-09-26 16:45:00+0900,1758872700,149.691,149.703,149.639,149.641,0.003
2025-09-26 17:00:00+0900,1758873600,149.642,149.672,149.614,149.649,0.003
2025-09-26 17:15:00+0900,1758874500,149.649,149.679,149.62,149.634,0.003
2025-09-26 17:30:00+0900,1758875400,149.634,149.688,149.631,149.687,0.003
2025-09-26 17:45:00+0900,1758876300,149.69,149.722,149.681,149.712,0.003
2025-09-26 18:00:00+0900,1758877200,149.713,149.747,149.695,149.744,0.003
2025-09-26 18:15:00+0900,1758878100,149.745,149.778,149.724,149.76,0.003
2025-09-26 18:30:00+0900,1758879000,149.759,149.781,149.733,149.769,0.003
2025-09-26 18:45:00+0900,1758879900,149.77,149.795,149.713,149.722,0.003
2025-09-26 19:00:00+0900,1758880800,149.722,149.839,149.722,149.838,0.003
2025-09-26 19:15:00+0900,1758881700,149.838,149.884,149.827,149.85,0.003
2025-09-26 19:30:00+0900,1758882600,149.849,149.862,149.818,149.843,0.003
